PROJECT REFERENCE NUMBER|DESCRIPTION|CSC NO|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A1937-00029-2012-BP01|NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSEWITH AN ATTIC AT 16 JALAN SIMPANG BEDOK ON LOT(S) 05070X  MK 28 AT 16 JALAN SIMPANG BEDOK|201546980|22/05/2015|610|1150000|1
A0841-10063-2013-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY CONSERVED SHOPHOUSES WITH ATTIC AND NEW 4-STOREY REAR EXTENSION COMPRISING 3 UNITS OF RESIDENTIAL FLATS AND CHANGE OF USE FROM RESIDENTIAL FLAT TO OFFICE ON 2ND STOREY ON LOT 00911V TS 12 AT 24 AND 26 LIANG SEAH STREET|201546981|22/05/2015|663|1787018|0
A0309-00019-2012-BP01|ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND SWIMMING POOL ON LOT 05548W MK27 AT 8C PALM DRIVE|201546982|22/05/2015|0|0|0
A2100-00004-2013-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH  ATTIC & A SWIMMING POOL ON LOT 00722M  MK 13 AT 43 JALAN BUMBONG|201546983|22/05/2015|0|0|0
A1365-10052-2012-BP01|COVERED LINKWAYS TO EXISTING JURONG EAST MRT STATION AND EXISTING TAXI-STAND TO PROPOSED ERECTION OF A 17-STOREY BUILDING WITH 3 BASEMENTS COMPRISING OF A 5-STOREY SHOPPING COMPLEX AND A 12-STOREY OFFICE TOWER ON LOTS 5624A , 8460N , 8738N  & 8741N  MK05 AT JURONG GATEWAY ROAD|201546977|22/05/2015|206|397000|0
E4497-00406-2014-BP01|DESIGN AND BUILD OF A COVERED LINKWAY AND VISITOR SERVICE SHELTER CUM BOOTH AT DRAGONFLY LAKE IN GARDENS BY THE BAY (BAY SOUTH) ON LOTS 00139X PT, 00188L PT, 00410L PT, 00412M PT, 00416T PT, 00419N PT, 00421K PT, 00425C PT, 00428V PT & 00465A PT TS30 AT 18 MARINA GARDENS DRIVE|201546984|22/05/2015|247|66870|0
A1491-00092-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 1007W MK 15 AT 4 GREENDALE AVENUE|201546985|22/05/2015|618|1800000|1
A1653-12233-2012-BP01|ERECTION OF 1 UNIT OF 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND SWIMMING POOL ON LOT 942N MK05 AT 20 SUNSET HEIGHTS|201546987|24/05/2015|771|3546000|1
A0647-00261-2010-BP01|LIFT UPGRADING PROJECT OF PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF RESIDENTIAL PUBLIC HOUSING WITH ANCILLARY SHOPS AND EATING HOUSE ON LOTS 1869X, 1870K, 1867K, 1868N, 1898K, 1866A, 1897A AND 1840N MK 06 AT JURONG WEST STREET 42|201546990|24/05/2015|2467|32400000|0
A0898-00878-2012-BP01|TRANSFORMER ROOM AT 1ST STOREY FOR AN EXISTING 6-STOREY WITH 2-BASEMENT COMMERCIAL BUILDING ON LOT(S) 00733V TS12 AT 1 ROCHOR CANAL ROAD|201546991|24/05/2015|38|1110000|0
E3618-00015-2014-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2 STOREY TERRACE DWELLING HOUSE WITH ATTIC ON LOT 15492L MK 18 AT 66 CHUAN DRIVE|201546992|25/05/2015|330|75000|1
A1664-00010-2007-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENTBLOCKS 324 TO 336 WITH ADDITION OF NEW LIFTS/ LIFT LOBBIES, ENTRANCEPORCHES & LINKWAYS BUKIT BATOK NEIGHBOURHOOD 3 CONTRACT 7 & 9(INTERIM & LIFT UPGRADING PROGRAMME) ON LOT(S) 02224C, 02225M, 02226W, 02227V & 02233A MK10 AT BUKIT BATOK STREET 32 SINGAPORE 650324|201546993|25/05/2015|1191|9350000|0
E3269-00028-2014-BP01|CHANGE OF USE 4TH STOREY FROM PRODUCTION AREA TO ANCILLARY WORKERS' DORMITORY AT THE EXISTING PART 2/ PART 4-STOREY SINGLE-USER FACTORY (FOR 50 WORKERS ONLY) ON LOT 00489W MK 11 AT 41 SUNGEI KADUT STREET 1|201546994|25/05/2015|0|500000|0
A1278-01332-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC ON LOT 1054V MK 17 AT 31 JALAN MERLIMAU|201546995|25/05/2015|18|110000|1
A1345-00001-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 93624A MK 26 AT 20 YARROW GARDENS|201546996|25/05/2015|537|1498000|1
E3407-00009-2014-ST01|PROPOSED ADDITION OF FLOATING PLATFORM OFF LOTS 814C, 46V, 815M AND 816W MK34 AT SEMAKAU LANDFILL (SOUTHERN ISLANDS PLANNING AREA) ON LOT(S) 46V , 814C , 815M  & 816W  MK34 AT PULAU SEMAKAU SINGAPORE 000000|201546997|25/05/2015|0|0|0
E3198-00014-2012-BP01|RETENTION OF AS-BUILT SHED AT EXISTING GUARD HOUSE TO EXISTING FACTORY ON LOT 3382A MK7 AT 49 GUL ROAD (PIONEER PLANNING AREA)|201546998|25/05/2015|45|0|0
E2537-00014-2013-BP01|ADDITIONS AND ALTERATIONS INVOLVING NEW MEZZANINE FLOOR FOR ANCILLARY OFFICE TO THE EXISTING SINGLE-STOREY FACTORY BUILDING WITH EXISTING MEZZANINE FLOOR ON LOT 01868M AND 01867C MK 31 AT 39-41 LOYANG WAY|201547000|25/05/2015|93|128000|0
E4157-00039-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A NEW ATTIC ON LOT 03282A MK 04 AT 14 GROVE CRESCENT|201547003|25/05/2015|210|650000|1
E2275-00003-2014-BP01|ROOF OVER EXISTING STAIRCASE WELL AND SCREEN PANELS ABOVE LOW WALLS FROM 2ND TO 6TH STOREY OF EXISTING 10-STOREY MULTIPLE-USER INDUSTRIAL DEVELOPMENT ON LOT(S) 16716W  MK18 AT 50 SERANGOON NORTH AVENUE 4|201547005|25/05/2015|33|18500|0
A1278-01422-2014-BP01|ADDITIONS & ALTERATIONS TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 1563T MK 17 AT 50 JALAN GIRANG|201547007|25/05/2015|4|235000|1
A1278-01226-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 00551M MK 27 AT 35 ERNANI STREET|201547008|25/05/2015|286|625000|1
A1108-00011-2012-BP01|ERECTION OF TEMPORARY SPORT FACILITY WITH LINKWAY FOR EXISTING BISHAN PARK SECONDARY SCHOOL ON LOT 13394N PT MK18 AT SIN MING WALK|201547010|25/05/2015|1949|3400000|0
E2377-00401-2015-ST01|PROPOSED INSTALLATION OF MILD STEEL BARRIER TO ALUMINIUM SLIDING WINDOWS TO BLOCK 215 LORONG 8 TOA PAYOH #13-727 SINGAPORE 310215 ON LOT(S) 04236M  MK17 AT 215 LORONG 8 TOA PAYOH #13-727 SINGAPORE 310215|201547012|26/05/2015|0|0|0
A1653-13253-2013-BP01|RECONSTRUCTION TO EXISTING 1-STOREY DETACHED DWELLING HOUSE WITH NEW SWIMMING POOL ON LOT 1868C MK 16 AT 18 YARWOOD AVENUE|201547014|26/05/2015|709|3500000|1
A2214-00006-2013-BP01|ERECTION OF A 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 1380C MK17 AT 60 JALAN SUKACHITA|201547015|26/05/2015|241|899364|1
A1007-00005-2011-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2 BLOCKS OF 6-STOREY FLATTED FACTORY BUILDING EACH WITH A BASEMENT ON LOTS 07789K AND 07790T MK 24 AT 7 & 9 HARRISON ROAD (TOA PAYOH DGP)|201547019|26/05/2015|7346|1541000|0
E2537-00008-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 03594W MK 18 AT 55 JALAN REDOP|201547020|26/05/2015|164|400000|0
E3795-00093-2009-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING TYPE C6 STANDARD FACTORY ON LOT 01240T MK07 AT 30 TUAS AVENUE 4|201547028|27/05/2015|3672|500000|0
A1595-00153-2012-BP01|NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC ON LOT 98756T MK 26 AT 216 CARPMAEL ROAD|201547029|27/05/2015|389|980000|1
A2082-11133-2011-BP01|RECONSTRUCTION OF AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 01861V MK 22 AT 11 LIM AH PIN ROAD|201547030|27/05/2015|393|700000|1
A1578-00013-2014-BP01|ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK BLOCK 668A WITH UPGRADING OF EXISTING LIFT / LIFT LOBBIES AT CHOA CHU KANG DRIVE / CHOA CHU KANG CRESCENT (LIFT INSTALLATION PROGRAMME TO EXISTING MSCP) ON LOTS 01995L & 01997M MK11|201547031|27/05/2015|0|217044|0
E3407-00053-2014-BP01|ADDITION OF NEW SUBSTATION AND ASSOCIATED WORK TO PENJURU LIGHTER TERMINAL ON LOT(S) 08100N MK05 AT 42G PENJURU ROAD (JURONG EAST PLANNING AREA)|201547011|27/05/2015|103|914800|0
E0227-00001-2013-BP01|RETENTION OF A COVERED CARPARK TO EXISTING FACTORY ON LOT 2642  MK31 AT 1 LOYANG WAY 4|201547035|27/05/2015|72|27000|0
A0659-00249-2014-BP01|ERECTION OF 1 UNIT OF 3-STOREY CORNER TERRACE HOUSE AND 1 UNIT OF 3-STOREY INTERMEDIATE TERRACE HOUSE WITH LIFTS AND OPEN ROOF TERRACE ON LOT 02131M MK 22 AT 37 & 39 KANG CHOO BIN ROAD|201547036|27/05/2015|576|884350|2
E4004-00030-2011-ST01|PROPOSED RETENTION OF 1.6M X 9.3M STEEL FRAME FOR SUPPORTING THE ILLUMINATED SIGN BOARD AT 30 CECIL STREET PRODENTIAL TOWER SINGAPORE 049712 ON LOT(S) 00616W  TS01 AT 30 CECIL STREET PRODENTIAL TOWER SINGAPORE 049712|201547037|27/05/2015|0|0|1
A1276-00610-2011-BP01|ERECTION OF AN 8-STOREY RESIDENTIAL FLAT (34 UNITS) DEVELOPMENT WITH GYMNASIUM, SWIMMING POOL AND POOL DECK AT 8TH STOREY ON LOT 02038V MK25 AT 21 LORONG 28 GEYLANG (GEYLANG PLANNING AREA)|201547038|27/05/2015|0|0|0
A1080-00001-2012-BP01|ADDITION OF 7TH STOREY FLOOR AND ADDITIONS & ALTERATIONS TO EXISTING 6-STOREY EDUCATIONAL INSTITUTION FOR NANYANG ACADEMY OF FINE ARTS [CAMPUS 3] WITH ONE BASEMENT CARPARK ON LOT 00944T TS 12 AT 151 BENCOOLEN STREET|201547040|27/05/2015|2101|9498850|0
A1445-01249-2013-BP02|ADDITIONS & ALTERATIONS TO EXISTING PART 1ST STOREY VOID DECK TO SENIOR ACTIVITY CENTRE ON LOT 03877N MK 04 AT BLOCK 728 CLEMENTI WEST STREET 2|201547041|27/05/2015|0|0|0
A1398-00075-2014-BP01|ADDITION AND ALTERATIONS AND TEMPORARY CHANGE OF USE OF THE 1ST AND PART 2ND STOREY OF THE EXISTING 4-STOREY RESIDENTIAL FLATS INTO CHILDCARE CENTRE ON LOT 04726W MK 25 AT 90, TANJONG KATONG ROAD, SINGAPORE 436959|201547045|27/05/2015|0|0|0
E1275-00123-2015-ST01|PROPOSED REPAIR WORKS TO 2-STOREY SHOPHOUSE INVOLVING ONE FOR ONE LOCALISED REPLACEMENT OF FLOOR BOARDS (TIMBER FACADE BEAM) ON LOT 00199T TS 14 AT 741 NORTH BRIDGE ROAD (KAMPONG GLAM CONSERVATION AREA).|201547047|28/05/2015|0|0|1
E2545-00003-2014-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY WAREHOUSE ON LOT 03665C MK 31 AT 1 LOYANG STREET/ 7 LOYANG DRIVE (PASIR RIS PLANNING AREA)|201547048|28/05/2015|14|280000|0
A1503-00021-2012-BP01|ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND BASEMENT ON LOT 03608L MK04 AT 164 DUCHESS AVENUE|201547051|28/05/2015|817|1238000|1
A1658-00014-2012-BP01|ERECTION OF A PAIR OF 2-STOREYSEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 095729W MK 24 AT 40 & 42 SIAK KEW AVENUE|201547049|28/05/2015|0|0|0
A2183-01507-2015-ST01|PROPOSED ADDITION AND ALTERATION TO BLOCK 72 UNITS #01-09/ #01-10 /#01-11 INVOLVING NEW NON-PERMANENT SWIMMING POOL (TENANCY WORKS) ON LOTS 03707P (PT) AND 03775K (PT) MK02 AT LOEWEN ROAD SINGAPORE 248848|201547053|28/05/2015|0|0|0
E3861-00027-2014-BP01|ADDITION & ALTERATION TO EXISTING SINGLE-USER INDUSTRIAL DEVELOPMENT INVOLVING THE CONSTRUCTION OF ADDITIONAL 2 LOADING BAYS, 2 TANKS, PIPING AND EQUIPMENT ON LOT 01771K MK34 AT 20 BANYAN AVENUE|201547054|28/05/2015|184|198700|0
A1905-00091-2011-BP01|ERECTION OF 3 BLOCKS OF CIVIC & COMMUNITY INSTITUTION COMPRISING  3-STOREY OF KINDERGARTEN, 4-STOREY OF CHILDREN'S HOME AND 5-STOREY OF TRANSITIONAL QUARTERS CUM ANCILLARY OFFICES WITH CHAPEL AT 1ST STOREY ON LOT 10317P MK 17 AT LORONG 8 TOA PAYOH|201547058|28/05/2015|0|0|0
A1974-00028-2011-BP01|NEW ERECTION OF 4 COVERED HIGH LINKWAYS, 1 BOAT CUTTER STORE AREA AND ADDITIONS & ALTERATION TO EXISTING OFFICES AT EXISTING OUTWARD BOUND DEVELOPMENT, PULAU UBIN CAMP SITE 1 ON LOTS 99995M & 00142T MK32|201547061|28/05/2015|559|500000|0
A0450-00602-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING RESIDENTIAL FLAT DEVELOPMENT INVOLVING NEW PORTE COCHERE, GUARD HOUSE, PAVILION, SERVICE LIFT, BIN POINT, FRONT BOUNDARY WALL AND SWIMMING POOL ON LOT 00620P TS27 AT 30 MOUNT ELIZABETH|201547060|28/05/2015|244|2772889|0
A1666-00002-2012-BP01|ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC, A BASEMENT & A SWIMMING POOL ON LOT 98166K MK 18 AT 1 PENSHURST PLACE|201547062|28/05/2015|775|1050000|1
A1276-00482-2009-BP01|ERECTION OF 7- STOREY MIXED-USE (26 SHOP UNITS AND 121 RESIDENTIAL UNITS) WITH 1 BASEMENT CAR PARKING (SURFACE & MECHANISED CAR PARKING) ATTIC AND SWIMMING POOL ON LOT(S) 99736P , 99737T , 99742K , 99754T  & 99795M  TS24 AT 428-434 RIVER VALLEY ROAD|201547024|28/05/2015|0|0|121
A0449-00311-2010-BP01|ADDITIONS /ALTERATIONS AND RETENTION OF RESTORATION TO THE EXISTING 2-STOREY CONSERVATION BUILDING ON LOT(S) 9548K, 99549N & 99550A TS 16 AT 102 DUNLOP STREET|201547070|29/05/2015|185|300000|0
A1324-20002-2011-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 01603K MK 27 AT 17 MARIA AVENUE|201547071|29/05/2015|314|502168|1
A1578-00006-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLKS 138 TO 140, 143, 145 & 147 WITH UPGRADING OF EXT'G LIFTS/LIFT LOBBIES  ON LOT(S) 2405L  & 2406C MK 31 AT 138, 139, 140, 143, 145 & 147 PASIR RIS STREET 11/13 PASIR RIS STREET 11|201547072|29/05/2015|0|500900|0
A1648-00002-2014-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 00813A MK09 AT 65 WESTWOOD WALK SINGAPORE 648702|201547073|29/05/2015|28|140000|0
A0539-00055-2008-BP01|ERECTION OF 15-STOREY FLAT DEVELOPMENT (TOTAL 52 UNITS) WITH AN ATTIC, A BASEMENT MECHANISED CARPARK AND COMMUNAL FACILITIES ON LOTS 0194A, 0195K, 0196N & 1327K TS 27 AT NO. 51 CAIRNHILL CIRCLE|201547076|29/05/2015|0|0|52
A1324-90038-2013-BP01|RECONSTRUCTION TO EXISTING BUS-SHELTER (17179) (B16) WITH KIOSK ON LOT 07592N PT & 08422P PT MK05 ALONG COMMONWEALTH AVE WEST|201547081|29/05/2015|210|1885326|0
E4309-00001-2014-BP01|REPLACEMENT OF THE EXISTING METAL ROOFING OF TOILET 2 AND 3 ON LOT 04097L MK03 AT WEST COAST PARK AT 51 WEST COAST HIGHWAY|201547082|29/05/2015|300|82000|0
E3711-00001-2013-ST01|PROPOSED STRUCTURAL REPAIR WORKS ON R1S APRON ROADWAY FROM GRIDLINE M1 ~ M1' / N15 ~ S15 AT 1ST STOREY, CHANGI AIRPORT TERMINAL 3, 65 AIRPORT BOULEVARD, SINGAPORE 819663. ON LOT(S) 65  MK31 AT AIRPORT BOULEVARD CHANGI AIRPORT SINGAPORE 819663|201547084|29/05/2015|0|0|0
A1245-00003-2013-BP01|RECONSTRUCTION OF THE EXISTING SINGLE-STOREY SEMI-DETACHED DWELLING HOUSE TO 2-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 93907N MK26 AT17 JEDBURGH GARDENS|201547086|29/05/2015|302|825000|0
A0781-00016-2008-BP01|ADDITION OF 1 BLOCK OF 15-STOREY WORKERS' DORMITORIES BUILDING WITH CARPARK AT 1ST STOREY AND ADDITIONS & ALTERATIONS TO EXISTING WORKERS' DORMITORIES DEVELOPMENT ON LOT 8228T  MK05 AT PENJURU PLACE|201547087|29/05/2015|7502|8886814|0
A1422-00502-2013-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT NO: 00413X MUKIM 18 AT 44 NEMESU AVENUE|201547089|29/05/2015|237|800000|1
A1403-00012-2013-BP01|ERECTION OF A 2-STOREY CORNER TERRACE HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 03343X & 7145X MK 04 AT 43 GROVE AVENUE|201547092|29/05/2015|526|2300000|1
E1485-00033-2011-ST01|IMPROVEMENT TO ROADSIDE DRAINS IV CONTRACT 2A-3(LOKYANG AREAS) ON LOT(S) NA  MK06 AT FIFTH LOK YANG ROAD,  SIXTH LOK YANG ROAD,  FOURTH LOKYANG ROAD,  THIRD LOK YANG ROAD,  SECOND LOK YANG ROAD,  FIRST LOKYANG ROAD|201547093|29/05/2015|0|0|0
A0552-01473-2013-BP01|EXTENSION OF A SINGLE-STOREY WAREHOUSE AT THE 1ST STOREY AND ADDITIONS & ALTERATIONS AT THE 2ND STOREY OF AN EXISTING 7-STOREY SINGLE-USER WAREHOUSE ON LOT 3322N MK 07 AT 30 TUAS AVENUE 10|201547094|29/05/2015|0|0|0
A2012-00001-2012-BP01|NEW ERECTION OF 1 UNIT OF 3-STOREY INTERMEDIATE TERRACE HOUSE ON LOT 1195N MK 18 AT 17B LIM TUA TOW ROAD|201547096|30/05/2015|371|483750|1
A1454-01282-2012-BP01|ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC & SWIMMING POOL ON LOT 02651V MK18 AT NO. 41 SELETAR HILLS DRIVE|201547097|30/05/2015|482|1150000|1
A0849-00186-2013-BP01|ADDITIONS & ALTERATIONS TO RESTAURANT UNIT NOS #02-19, #02-20, #02-21 & #02-22 FOR THE EXISTING CIVIC, CULTURAL AND COMMERCIAL BUILDING (THE STAR) ON LOT(S) 04467L MK03 AT ROCHESTER DRIVE (1 VISTA EXCHANGE GREEN)|201547182|08/06/2015|77|10000|0
A2150-00007-2012-BP01|ADDITIONS AND ALTERATIONS AND CHANGE OF USED OF THE EXISTING 1ST STOREY RESTAURANT TO NIGHTCLUB OF UNIT NO #01-25 ON LOT 03735C PT MK01 AT BLOCK 9A LOCK ROAD SINGAPORE 108926|201547187|09/06/2015|652|620000|0
E3060-70810-2010-BP01|RECONSTRUCTION TO AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A NEW 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH PROVISION OF A NEW ATTIC ON LOT 00963W MK 20 AT 4 JALAN TARI PIRING SINGAPORE 799158|201547188|09/06/2015|273|650000|0
A1007-00021-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING 4-STOREY MARKET/FOOD CENTRE CUM MULTI-STOREY CARPARK INVOLVING ADDITION OF ONE PASSENGER LIFT ON LOT 07563W MK22 HOUGANG NEIGHBOURHOOD 1, CONTRACT 4 (NEIGHBOURHOOD CENTRE) AT BLOCK 105 HOUGANG AVE 1 (HOUGANG PLANNING AREA)|201547189|09/06/2015|1|254546|0
A1038-00010-2010-BP01|ERECTION OF 2 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSES EACH WITH AN ATTIC ON LOTS 97064C, 09452N & 10310L (FORMERLY KNOWN AS 09454L PT) MK26 AT 106 JOO CHIAT PLACE (GEYLANG PLANNING AREA)|201547190|09/06/2015|640|1400000|2
E1615-00023-2011-BP01|RECONSTRUCTION TO THE EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT 09027V MK 18 AT 2A SHANGRI-LA WALK|201547191|09/06/2015|442|500000|1
E1615-00027-2014-BP01|INSTALLATION OF A NEW LIFT TO THE EXISTING 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 09289T MK22 AT 17A JALAN TELITI|201547192|09/06/2015|1|50000|1
E2582-00002-2013-BP01|ADDITION AND ALTERATION TO THE EXISTING 2 STOREY CORNER TERRACE DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 09812C MK18 AT 38 CACTUS ROAD|201547197|10/06/2015|296|650000|0
E3187-20030-2012-BP01|BUS-SHELTER (71099) (B01) EXTENSION ON LOT 06536X MK 23 ALONG EUNOS LINK|201547198|10/06/2015|36|39606|0
E2377-00419-2015-ST01|PROPOSED REPLACEMENT OF ALUMINIUM CASEMENT WINDOW AND ALUMINIUM SLIDING WINDOW WITH FIXED GLASS PANELS TO BLOCK 683A JURONG WEST CENTRAL 1 #12-120 SINGAPORE 641683 ON LOT(S) 03501N  MK06 AT 683A JURONG WEST CENTRAL 1 #12-120 SINGAPORE 641683|201547199|10/06/2015|0|0|0
E3306-00016-2012-BP01|ADDITIONS AND ALTERATIONS OF A 2 STOREY DETACHED DWELLING HOUSE WITH EXTENSIONS AT THE SIDE AND FRONT AT 14 SUNSET CRESCENT ON LOT 01623W  MK06 AT 14 CRESCENT|201547205|10/06/2015|340|500000|0
A2185-00104-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT, ATTIC & SWIMMING POOL ON LOT 1872M MK 16 AT NO. 15 WAJEK WALK|201547185|10/06/2015|0|0|0
A0610-00362-2014-BP01|PROPOSED COVERED LINKWAY FROM BLOCK 827 TO BLOCK 829 ON LOT 6633N MK 28 AT TAMPINES STREET 81|201547209|10/06/2015|195|253150|0
A1232-00002-2010-BP01|RECONSTRUCTION OF 2 EXISTING SINGLE-USER LIGHT INDUSTRIAL BUILDINGS TO A BLOCK OF 7-STOREY SINGLE-USER LIGHT INDUSTRIAL DEVELOPMENT WITH ANCILLARY WORKERS' DORMITORY ON LOT(S) 10342X, 10399K, 4134 & 5856  MK24 AT 42 TANNERY LANE, 15 TANNERY ROAD|201547212|10/06/2015|3792|2000000|0
E2987-00006-2014-ST01|PROPOSED SHORE-LINE PROTECTION TO LAKE 13 ON LOT 03621M, MK 31 AT 25 CHANGI COAST ROAD SINGAPORE 499803 (CHANGI PLANNING AREA)|201547101|02/06/2015|0|0|0
E3600-00001-2014-ST01|CONSTRUCTION OF BUILD-UP SAND BUND AND ANCILLARY WORKS FOR PHASE II DEVELOPMENT OF SEMAKAU LANDFILL ON LOT(S) 46V , 814C , 815M  & 816W  MK34 AT TEMP ROAD NAME|201547074|02/06/2015|0|0|1
A1764-00028-2011-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, ATTIC, AND SWIMMING POOL ON LOT 1338X MK 2 AT 115 GALLOP PARK ROAD (TANGLIN PLANNING AREA)|201547104|02/06/2015|2550|7376210|0
A1513-00004-2014-BP01|ADDITIONS AND ALTERATIONS TO EXISTING 4-STOREY BUKIT PANJANG COMMUNITY CLUB ON LOT(S) 00897X  MK14 AT 8 PENDING ROAD BUKIT PANJANG COMMUNITY CLUB|201547105|02/06/2015|55|82885|0
E1356-00065-2012-BP02|ADDITIONS AND ALTERATIONS TO EXISTING 2-STOREY SINGLE USER FACTORY ON LOT 1489V MK07 AT 13 TUAS AVENUE 13|201547106|02/06/2015|918|1500000|0
A1007-00021-2014-BP01|ADDITIONS AND ALTERATIONS TO EXISTING EDUCATION CENTRE TO INFANT AND CHILD CARE CENTRE (PCF SPARKLETOTS) AT UNIT #01-294 ON LOT 01077C MK 19 AT BLOCK 277 YISHUN STREET 22|201547107|02/06/2015|731|420090|0
E0388-15021-2015-BP01|ADDITION AND ALTERATION INVOLVING THE INTERNAL PARTITIONING TO UNIT 05-16 AT 8A ADMIRALTY STREET FOODXCHANGE@ADMIRALTY ON LOT(S) 05591M  MK13|201547108|02/06/2015|0|30000|0
A1315-00002-2014-BP01|ADDITIONS & ALTERATIONS INVOLVING ERECTION OF A NEW STEEL PLATFORM FOR STORAGE AT EXISTING PASIR PANJANG TERMINAL BUILDING 1 WORKSHOP NEXT TO SERVICE RECOVERY DEPARTMENT 2 BRIEFING ROOM  ON LOT 03838W  MK03 AT 33 HARBOUR DRIVE PASIR PANJANG TERMINAL SINGAPORE 117606 (PASIR PANJANG PERMINAL)|201547109|02/06/2015|35|65100|0
A0623-00802-2008-BP01|CONDOMINIUM DEVELOPMENT HOUSING COMPRISING 1 BLOCK OF 32-STOREY & 1 BLOCK OF 33-STOREY RESIDENTIAL TOWER (TOTAL 281 UNITS) & 3-STOREY STRATA TERRACE UNITS WITH BASEMENT (TOTAL 14 UNITS), BASEMENT CARPARK, SWIMMING POOL & OTHER ANCILLARY FACILITIES ON MK 05 LOT 8341X AT WEST COAST CRESCENT ON LOT(S) 8341X  MK05 AT WEST COAST CRESCENT|201547112|02/06/2015|47312|113000000|0
E2501-00025-2014-BP01|ADDITION AND ALTERATION  TO EXISTING FACTORY ON LOT 00974C MK 07 AT 8 BENOI PLACE|201547114|02/06/2015|0|0|0
E0187-00005-2013-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 5-STOREY OFFICE BLOCK CUM 2-STOREY OFFICE/ASSEMBLY WORKSHOP AT THE EXISTING SINGLE USER FACTORY ON LOTS 02374W, 02375V, 03842A, 04455P & 04457A MK06 AT 25 TANJONG KLING ROAD|201546351|02/06/2015|228|418000|0
