PROJECT REFERENCE NUMBER|DESCRIPTION|ARCHITECT|TOP NUMBER|DATE ISSUED|FLOOR AREA|COST|RESIDENTIAL UNITS
A1315-00003-2014-BP01|ADDITIONS & ALTERATIONS INVOLVING ERECTION OF A SINGLE STOREY STORAGE BUILDING (NON FLAMMABLE MACHINERY PARTS) ON LOT 01190T MK 34 AT BRANI TERMINAL AVENUE SINGAPORE 098675|MR. LIEW SOONG SHOON|201547002|25/05/2015|249.94|276800|0
E2628-00003-2011-ST02|ACCESS SHAFTS AT TUNNELS PP4A AND PP4C;TUNNELS PP4A;EXTENSION OF EXISTING TUNNELS PP4C TO ACCESS SHAFTS. ON LOT(S) 02646L  MK34 AT BANYAN AVENUE|Bong Yiing Siong|201547001|25/05/2015||0|0
A1091-00002-2013-ST01|PROPOSED ERECTION OF 2-STOREY TAXI QUEUING DECK & ELEVATED ROADWAYS AT SINGAPORE CHANGI AIRPORT ON LOT(S) 01277V  & 04594L  MK31 AT AIRPORT BOULEVARD|TAN KEH MUI|201547004|25/05/2015||0|0
A1972-01204-2012-BP01|ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC - GCBA ON LOT 03037P MK04 AT 4 THIRD AVENUE|JOHN ANDREWS MCLAUGHLIN|201547009|25/05/2015||0|1
A1326-00225-2013-BP01|ADDITIONS AND ALTERATIONS TO AN EXISTING 2-STOREY BUILDING WITH A NEW ROOF MEZZANINE AND USE OF THE 1ST & 2ND STOREYS AS RESTAURANT AND ROOF MEZZANINE AS ANCILLARY OFFICE ON LOT 00007X TS14 AT 11 BUSSORAH STREET|MICHAEL TAN YONG SIANG|201547017|26/05/2015|201.31|780000|0
A1722-00023-2013-BP01|ALTERATIONS AND ADDITIONS TO THE EXISTING IMAGES OF SINGAPORE ON LOT 02304P MK 34 AT 40 IMBIAH ROAD - THIS TOP IS ISSUED FOR 2 NEW STAIRCASES AND 3 NEW ROOF WORKS ONLY|DARREN PETER BENGER|201547018|26/05/2015|80.0|500000|0
A1536-00001-2011-BP01|ERECTION OF A 5-STOREY RESIDENTIAL FLATS WITH ATTIC (16 UNITS) DEVELOPMENT WITH A SWIMMING POOL ON LOTS 05300P,05301T & 10075C MK 26 AT 36, 38 LORONG H TELOK KURAU|VICTOR TEO NGUI WAH|201547023|26/05/2015|1735.0|6600000|16
A1625-00001-2014-BP02|ADDITIONS AND ALTERATIONS TO EXISTING BLOCK S8, FACULTY OF SCIENCE, NATIONAL UNIVERSITY OF SINGAPORE ON LOT(S) 03891P, 03894K, 04340V, 04342T, 05023L, 05025M  & 05112L  MK03 AT 21  LOWER KENT RIDGE ROADTHIS TEMPORARY OCCUPATION PERMIT IS ISSUED FOR ROOF, UPPER ROOF, STAIRCASE 1 & 2 AT 3RD STOREY, TOILETS AT 1ST, 2ND & 3RD STOREY|KUAN CHEE YUNG|201547006|25/05/2015||0|0
A0781-00013-2011-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 8 BLOCKS OF 26-STOREY RESIDENTIAL FLATS (TOTAL: 1150 UNITS), 1 BLOCK OF 6-STOREY MULTI-STOREY CARPARK WITH COMMUNAL FACILITIES & 2 PRECINCT PAVILIONS AND COMMON GREEN AT SENGKANG N4 C24 ON LOT(S) 04181N , 04184C , 04187V , 04279A , 04439T , 04470W  & 04486P  MK20 AT FERNVALE LINK / SENGKANG WEST WAY [THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR COVERED LINKWAY CONNECTING BLOCK 468C AND DROP-OFF PORCH (BETWEEN BLOCKS 469A AND 469B), COVERED LINKWAY CONNECTING BLOCKS 469C AND 468 (MULTI-STOREY CARPARK), COVERED LINKWAYS CONNECTING BLOCKS 468C, 468B AND 468 (MULTI-STOREY CARPARK) TO DROP-OFF PORCH (BETWEEN BLOCKS 468B AND 468C), COVERED LINKWAY CONNECTING BLOCKS 468A AND 468 (MULTI-STOREY CARPARK), DROP-OFF PORCH BETWEEN BLOCKS 469A AND 469B AND DROP-OFF PORCH BETWEEN BLOCKS 468B AND 468C.]|WONG TOON JIN|201547013|26/05/2015|164570.68|151370000|0
A1403-00003-2011-BP01|NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC, A ROOF TERRACE, A SWIMMING POOL AND A SUBSTATION ON LOT 10224C MK 17 AT JALAN BAHASA|AAMER TAHER|201547025|26/05/2015|1136.19|6200000|1
A1149-01141-2011-BP01|CONDOMINIUM HOUSING DEVELOPMENT COMPRISING ERECTION OF 2 BLOCKS OF 7-STOREY RESIDENTIAL HOUSING (221 UNITS) , 3 BLOCKS OF 6-STOREY RESIDENTIAL HOUSING (180 UNITS) AND 1 BLOCK OF 5-STOREY RESIDENTIAL HOUSING (28 UNITS) WITH A  BASEMENT CAR PARK , SHOP AND ANCILLARY FACILITIES ON LOT 04740X MK 31 AT FLORA DRIVE|ASHVINKUMAR SO KANTILAL|201547026|26/05/2015|40160.27|104800|0
A1378-00022-2011-BP01|ERECTION OF A CONDOMINIUM HOUSING DEVELOPMENT COMPRISINGF 6 BLOCKS OF 18-STOREY RESIDENTIAL BUILDINGS AND BASEMENT CARPARKS WITH SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 2453K MK 21 AT SENGKANG EAST AVENUE|CHONG NAN HING|201547027|27/05/2015||0|0
A1445-01463-2014-BP01|ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY SINGLE-USER WAREHOUSE ON LOT 04097W MK 06 AT  2 FISHERY PORT ROAD|POH MEOW CHIA|201547033|27/05/2015|477.6|14000000|0
A0849-00002-2015-BP01|ADDITIONS AND ALTERATIONS INVOLVING RESTAURANT WITH ANCILLARY BAR TO TENANCY UNITS  #01-081 AND #B1-01C OF APPROVED MARINA BAY SANDS INTEGRATED RESORT ON LOT 00342V, 00348X, 00349L, 00381N, 00382X, 70008M, 70010C, 70011M, 70013V, 70014P, 70015T, 70016A, 70017K, 70018N, 80022X, 80023L, 80024C, 80025M, 80026W, 80027V, 80029T TS 30 AT NO. 2 BAYFRONT AVENUE|TONY ANG KONG SIONG|201547034|27/05/2015|423.48|5000000|0
A0704-47802-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 222, 224 TO 227, 235 TO 237 WITH NEW LIFTS / LIFT LOBBIES ON LOTS 12549K, 12267A, 12547T, 12269N & 16586W MK 18 AT BISHAN STREET 22 / 23(THIS TOP IS ISSUED FOR LIFT "D" AT BLK 237)|LIM BOON LENG JOHN|201547039|27/05/2015|2632.3|5967349|0
A0955-00004-2012-BP01|ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A ROOF TERRACES AND A SWIMMING POOL ON LOT 1775V MK 05 AT NO. 29 JALAN LAYANG LAYANG SINGAPORE 598495|WONG LIN YI|201547042|27/05/2015|779.8457|1750000|1
A0817-00320-2013-BP01|ERECTION OF 2 BLOCKS OF 6-STOREY SINGLE-USER INDUSTRIAL DEVELOPMENT WITH ANCILLARY FACILITIES ON LOT 5438M MK05 AT 47 PANDAN ROAD - THIS TOP IS ISSUED FOR BLOCK A ONLY|LAU MOH LIM|201547043|27/05/2015||0|0
A1889-00009-2010-BP01|ADDITIONS AND ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT BLOCKS 426 TO 431 WITH NEW LIFTS / LIFT LOBBIES & ENTRANCE PORCHES ON LOTS 1042L , 1137T , 930X , 931L , 932C , 933M , 934W , 935V , 936P  & 937T  MK29, 1350M , 1351W , 1352V , 1353P , 1355A , 1356K , 1357N , 1358X , 1359L , 1434L , 1448L , 1449C , 1450X , 1451L , 1459K , 1569C , 2785W  & 3507K  MK31 AT TAMPINES STREET 41 (LIFT UPGRADING PROGRAMME) (THIS TOP IS ISSUED FOR BLK 426 LIFT A & BLK 427 LIFT A)|YUEN YI MAY|201547044|27/05/2015|655.28|3522683|0
E2819-00789-2014-BP01|ADDITIONS AND ALTERATIONS TO THE EXISTING PART 2-STOREY & PART 3-STOREY SINGLE USER DETACHED FACTORY WITH MEZZANINES ON LOT 4163K MK 6 AT 8 PIONEER WALK - THIS TOP IS FOR PHASE 1 (SINGLE-STOREY WORKSHOP EXTENSION, NEW METAL CANOPY AT GL 1-2/B, GL 7-8/C-D & GL 8-11/C AND 1ST STOREY PARTITION WORKS AT GL 3-4/B'-C)|TAN HOOI KIAT|201547046|28/05/2015|651.93|502014|0
A0697-00004-2012-BP01|ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT PRECINCT A & B CONSISTING OF BLOCKS 401, 402, 403, 404, 405, 407, 408, 409, 410,  410A, 411, 412, 413 AND 414 WITH NEW LIFTS / LIFT LOBBIES (LIFT UPGRADING PROGRAMME) ON LOT 6999L MK24 AT SERANGOON CENTRAL [PHASE 13 TOP ? BLOCK 401 LIFT ?C?, BLOCK 408 LIFT ?B? & BLOCK 411 LIFT ?C? ONLY]|NGOOI  NGOK  SAI|201547050|28/05/2015|392.4|1119540|0
A1211-12008-2012-BP01|ERECTION OF A 4-STOREY RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY DEVELOPMENT COMPRISING SHOPS & RESTAURANTS (45 UNITS) AT 1ST STOREY AND RESIDENTIAL FLATS ABOVE ( 55 FLAT UNITS) WITH ATTIC, BASEMENT CARPARK, SWIMMING POOL & COMMUNAL FACILITIES ON LOTS 00638X & 01317M TS28 AT 275 THOMSON ROAD NOVENA REGENCY AT 275, 277 & 279  THOMSON ROAD NOVENA REGENCY|TOH KOK KIN|201547055|28/05/2015||0|55
A1705-00003-2011-BP01|ADDITION AND ALTERATION INVOLVING BASEMENT TO LEVEL 5 OF EXISTING MARINA SQUARE COMPLEX AND PROPOSED NEW ERECTION OF SHOPPING MALL EXTENSION ON LOT 357L, 358C & 605N TS11 AT 6 RAFFLES BOULEVARD (DOWNTOWN PLANNING AREA)[THIS TOP IS FOR-          BASEMENT PLAN AT GL EE-SS/7-24, GL FF-GG/3-24-          1ST STOREY AT GL GG-TT/0-29 EXCLUDING LANDSCAPE AREA AT GL PP-TT/18-29, GL RR-TT/11-21-          2ND STOREY AT GL EE-RR/0-29 EXCLUDING OPEN ROOF TERRACE AT GL GG-JJ/5-7, GL GG-JJ/15-18, GL PP-SS/13-25, GL LL-QQ/25-27, GL H-U/33-40-          3RD STOREY AT GL DD-RR/0-29 EXCLUDING GL GG-JJ/5-7, GL GG-JJ/15-18, GL H-U/33-40-          4TH STOREY AT GL GG-RR/0-26-          5TH STOREY AT GL GG-PP/17-26ONLY]|TOH SZE CHONG|201547052|28/05/2015|21315.11|76480000|0
A1169-80010-2011-BP01|RECONSTRUCTION OF AN EXISTING SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH A BASEMENT ON LOT 00800M MK 10 AT NO 14 JALAN BATU NILAM|TEO KIM SWA|201547056|28/05/2015|263.81|710000|1
A1296-00003-2013-BP01|RECONSTRUCTION OF AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 2-STOREY DEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 02207W MK 05 AT 23 FABER HEIGHTS|LIM HAN YONG AARON|201547057|28/05/2015|548.35|980000|1
A1403-00019-2012-BP01|ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE AND A 2-STOREY CORNER TERRACE HOUSE WITH ATTICS AND BASEMENTS ON LOT 02374K MK18 AT 23 & 23A PENSHURST PLACE|AAMER TAHER|201547059|28/05/2015|777.94|3000000|2
A1164-00004-2012-BP01|PROMENADE (LOT 4505L/PT) LINKING TO CONDOMINIUM (LOT 4340A) MK 20 AT SENGKANG WEST AVE/ FERNVALE LINK|C N SUNEETH|201547067|28/05/2015|68.52|200000|0
A0817-00314-2012-BP01|ERECTION OF A BLOCK OF 3-STOREY SINGLE-USER INDUSTRIAL BUILDING ON LOT 1577W (PLOT A2224400) MK 07 AT NO.35 TUAS AVENUE 13|LAU MOH LIM|201547068|28/05/2015|4602.9|5050000|0
A1860-01254-2014-BP01|ADDITIONS & ALTERATIONS TO EXISTING NATIONAL SAILING CENTRE INVOLVING A NEW SINGLE STOREY SAIL BOAT MULTI-FUNCTIONAL BUILDING WITH ANCILLARY MEZZANINE DECK FOR M/S SPORT SINGAPORE ON LOT 08983K MK27 AT 1500 EAST COAST PARKWAY|CHNG HSI YEE CAROL|201547063|29/05/2015|814.83|1390000|0
A0673-00008-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 12 BLOCKS OF 17-STOREY RESIDENTIAL BUILDING (TOTAL 1010 UNITS) AND 2 BLOCKS OF MULTI-STOREY CARPARK WITH COMMERCIAL/COMMUNITY FACILITIES,ESS, PRECINCT PAVILION AND COMMON GREEN AT ON LOTS 00010V , 02226A , 99807T , 99809K  & 99814X  MK 21 PUNGGOL WEST C28 [THIS TOP IS ISSUED FOR ROOF GARDEN OF BLOCK 261 AND ROOF GARDEN OF BLOCK 259 ONLY]|SIW FER LIN|201547069|29/05/2015|127113.09|157000000|0
A1914-00001-2008-BP01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 4 BLOCKS OF 25/30/40-STOREY RESIDENTIAL BUILDING (TOTAL 700 UNITS), 1 BLOCK OF SINGLE-STOREY EATING HOUSE, 1 BLOCK OF MULTI-STOREY CAR PARK WITH SHOPS/ESS, PRECINCT PAVILION & COMMUNITY FACILITIES (BUKIT MERAH RC 37B)[THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR THE SENIOR ACTIVITY CORNER AT BLOCK 10B ONLY.]|Mohd. Asaduz Zaman|201547075|29/05/2015|243.0|106798136|0
A0704-47801-2011-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING PUBLIC HOUSING DEVELOPMENT, BLOCKS 246 TO 256 WITH NEW LIFTS/LIFT LOBBIES ON LOT 12950P MK 18 AT BISHAN STREET 22THIS TEMPORARY OCCUPATION PERMIT IS ISSUED FOR BLOCK 250 LIFT 'C' ONLY|LIM BOON LENG JOHN|201547077|29/05/2015||0|0
A1138-00021-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING COMMONWEALTH MRT STATION ON LOTS 02363W, 02791X (PT), 04791T (PT), 04107L (PT), 04794N (PT) MK 03 AT COMMONWEALTH AVENUE (QUEENSTOWN PLANNING AREA)|MR ONG ENG WOON|201547078|29/05/2015|1819.02|3721103|0
A1658-00013-2012-BP01|NEW ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 01678P MK18 AT 61 JALAN CHENGAM|ANG WEI MEIN|201547079|29/05/2015|556.893|800000|1
A2077-00006-2013-BP01|RECONSTRUCTION OF EXISTING SINGLE STOREY PETROL STATION ON LOT/S 05697X & 05698L MK 25 AT 1 SWANAGE ROAD (MARINE PARADE PLANNING AREA)|CHAN CHOON SENG JERRY|201547080|29/05/2015|655.62|2270972|0
A0849-00010-2008-BP01|CONSERVATION &  ADDITIONS AND ALTERATIONS TO EXISTING BLOCKS 1, 9, 14 AND NCO CLUB, AND NEW ERECTION OF 2 TOWER BLOCKS OF 34 & 45 STOREY, 4 PODIUM BLOCKS AND 3 BASEMENT LEVELS, COMPRISING OF HOTELS, OFFICES, RETAIL UNITS AND RESIDENTIAL DWELLING UNITS (TOTAL 190 UNITS) ON LOT 858K TS11 AT BEACH ROAD (DOWNTOWN CORE PLANNING AREA)[THIS TEMPORARY OCCUPATION PERMIT IS FOR CONSERVED BUILDING BLOCK 1 AND KIOSK (P04).]|TONY ANG KONG SIONG|201547083|29/05/2015|248270.0|820000000|0
A1722-00003-2012-BP01|ERECTION OF A SINGLE-USER PART 4/PART 5-STOREY LIGHT INDUSTRIAL DEVELOPMENT WITH A WAREHOUSE AND A TEMPORARY ANCILLARY STAFF CANTEEN ON LOT 04642L MK06 AT 1 PIONEER TURN|DARREN PETER BENGER|201547085|29/05/2015|23916.9|0|0
A1207-00002-2013-BP01|ADDITIONS & ALTERATIONS TO EXISTING DOWNTOWN EAST INVOLVING ERECTION OF NEW RESORT ACCOMODATION (2 BLOCKS OF RESORT MAIN BLOCKS & 17 BLOCKS OF CHALET), STAND ALONE M&E PLANT ROOMS & BIN CENTRE AND ANCILLARY FACILITIES ON LOT(S) 02743T , 04801M , 04803V , 04804P , 04805T , 04806A  & 04807K  MK31 AT 1 PASIR RIS CLOSE DOWNTOWN EAST SINGAPORE 519899[THIS TOP IS GRANTED FOR 3 BLOCKS OF MANGROVE CHALETS AT GL CMA-CMB/CM1-CM12 AND GL CMN-CMP/CM44-CM50 ONLY]|TEOH HAI PIN|201547088|29/05/2015|2473.0|5000000|0
A0506-00086-2012-BP01|6-STOREY NURSING HOME WITH BASEMENT CARPARK ON LOT 13068C MK18 AT 9 BISHAN STREET 13|LEE KUT CHEUNG|201547090|29/05/2015|9694.56|21978000|0
E3294-00036-2012-BP01|ERECTION OF A 3-STOREY ANCILLARY OFFICE BUILDING, A 3-STOREY PRODUCTION BUILDING  AND ADDITIONS/ALTERATIONS TO THE EXISTING SINGLE-STOREY SINGLE -USERS INDUSTRIAL DEVELOPMENT ON LOT 04127A MK07 47 TUAS VIEW CIRCUIT - THIS TOP IS ISSUED FOR BLOCK 2A AND 3A PRODUCTION BLOCK ONLY|ZHOU TONG QUAN|201547091|29/05/2015||0|0
A1278-01330-2013-BP01|ADDITIONS AND ALTERATIONS INVOLVING EXPANSION OF EXISTING COMMERCIAL RESTAURANT AND NEW ORA AT BLOCK B AND CONVERSION OF EXISTING ROOF GARDEN TO ANCILLARY OFFICES AT 4TH STOREY (BLOCK A) ON LOT(S) 00483W PT , 02470L , 02471C PT , 02472M , 02473W PT , 02474V , 05790X PT , 05791L PT , 05792C , 05793M PT , 05796P PT , 05797T , 05798A PT , 08223T , 08224A , 08225K , 08265W , 08266V PT , 08947W , 08948V , 09180M PT , 09209A PT , 09958N PT , 09963L , 98079N PT , 98082N PT , 98429T PT  & 98467X PT  MK17 AT 31 AH HOOD ROAD|MR HO POH KONG|201547095|30/05/2015|670.76|2200000|0
E2662-00010-2011-BP01|TEMBUSU MULTI-UTILITIES COMPLEX (COGENERATION & SWRO PLANT) AND JETTY ON LOT(S) 02814K  MK34 AT 20 TEMBUSU CRESCENT [THIS TOP IS FOR BIO-MASS HOUSE, COAL SILOS, CFB BOILER #2 (LIFT), PIPE RACKS & MAKE-UP WATER TANKS ONLY]|LEONG SOW HON|201547098|30/05/2015|8146.0|37548114|0
A1809-00002-2010-BP01|ERECTION OF A 16-STOREY REGIONAL HOSPITAL, 12-STOREY COMMUNITY HOSPITAL AND 8-STOREY SPECIALISTS' OUTPATIENT CLINICS WITH 2 BASEMENT CARPARKS AND ANCILLARY SERVICES AT 1 JURONG EAST STREET 21 - THIS TOP IS ISSUED TO 12 STOREY COMMUNITY HOSPITAL COMPRSING CH LEVEL 1 TO 12 & ROOF (PARTIAL TFP 6A & 6B), LEVEL B1 AMBULANCE RAMP ACCESS GRID AB-AE/R24-C2 (PARTIAL TFP 6A), LEVEL B2 PARTIAL RH CAR PARKING AREA AND AMBULANCE RAMP ACCESS GRID AA-AF/R10-R25 (PARTIAL TFP 6A) ONLY|LIM LIP CHUAN|201547150|05/06/2015|213880.58|780000000|0
A1400-65800-2011-BP01|ADDITIONS AND ALTERATIONS AND CHANGE OF USE FROM EXISTING OFFICE AND STORAGE AREA TO TEMPORARY ANCILLARY  WORKERS DORMITORY (426 WORKERS) TO THE EXISTING SINGLE-USER FACTORY DEVELOPMENT ON LOT 01069X,  MK 11 AT NO. 66 SUNGEI KADUT STREET 1|TAY POH LOONG|201547152|05/06/2015|248.76|1200000|0
E3270-00016-2014-ST01|PROPOSED SINGLE-STOREY TEMPORARY FACILITIES INVOLVING ERECTION OF ANCILLARY TRAINING ROOMS,  A SECURITY CONTROL AREA AND A BRIDGE ON LOT 02450L PT  MK 34 MERLIMAU PLACE (WESTERN ISLANDS PLANNING AREA)|TAN CHUAN PING|201547155|05/06/2015||0|0
A1694-00192-2010-BP01|ERECTION OF A 5-STOREY RESIDENTIAL FLAT WITH ATTIC (TOTAL 33 UNITS) AND BASEMENT MECHANICAL CAR PARKS, SWIMMING POOL AND COMMUNAL FACILITIES ON LOT 7391K MK 17 AT 56A BRADDELL ROAD|LEOW JONG KEE|201547158|05/06/2015|2153.19|7078500|33
A1750-00170-2013-BP01|ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC AND A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC ON LOT 96941M & 96940C MK 18 AT 30 & 32 CARDIFF GROVE|GOH CHUAN CHYE|201547159|06/06/2015|723.23|1600000|2
A0930-00009-2012-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 4 BLOCKS OF 17-STOREY RESIDENTIAL BUILDING (TOTAL 526 UNITS), 1 BLOCK OF MULTI-STOREY CAR PARK WITH ESS & PRECINCT PAVILION AT SUMANG WALK (PUNGGOL WEST C30) ON LOT(S) 02458M  & 99806P  MK21 AT SUMANG WALK[THIS TOP IS GRANTED FOR BLOCKS 256 MULTI-STOREY CAR PARK & 256D ONLY]|MOHD ASADUZ ZAMAN|201547099|02/06/2015|67045.12|72800000|128
E3253-00003-2011-BP01|ADDITIONS & ALTERATIONS TO AN EXISTING SINGLE STOREY MATERIAL RECOVERY FACILITY WITH ANCILLARIES ON LOT 3933X MK 07 AT 90 TUAS BAY DRIVE(THIS TOP IS ISSUED FOR NEW ANCILLARY OFFICE BLOCK AND ROOF EXTENSION OF EXISTING MRF BUILDING)|KIM WEI KEONG GEORGE|201547100|02/06/2015|4540.511|11000000|0
A0712-00811-2011-BP01|EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 12 BLKS OF 17-STOREY RESIDENTIAL UNITS, 1 BLK OF 5-STOREY MULTI-STOREY CARPARK WITH ROOF GARDEN, ANCILLARY FACILITIES & SWIMMING POOL (TOTAL 728 UNITS) ON LOT 2472X MK 21 AT PUNGGOL WALK|LAURENCE TAN JER KIAT|201547102|02/06/2015|110329.89|167000000|728
A1750-00168-2013-BP01|NEW ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02168K MK22 AT 74 DA SILVA LANE|GOH CHUAN CHYE|201547103|02/06/2015|578.21|1000000|1
A0506-00025-2008-BP01|ERECTION OF A 40-STOREY COMMERCIAL BUILDING WITH OFFICES, 3 BASEMENTS FOR CARPARK AND ANCILLARY SERVICES ON LOT 00503A TS01 AT 138 MARKET STREET[THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR UNDERGROUND PEDESTRIAN NETWORK (UPN) CONNECTION TO EXISTING PAVILION ADJACENT TO PRUDENTIAL TOWER AT CECIL STREET.]|LEE KUT CHEUNG|201547110|02/06/2015||0|0
A1088-00942-2010-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 1 BLK OF 34-STOREY, 1 BLK OF 28-STOREY & 2 BLKS OF 24-STOREY RESIDENTIAL BUILDING (TOTAL 741 UNITS) WITH MSCP, ESS, PRECINCT PAVILION & COMMUNAL FACILITIES ON LOT(S) 1268T , 1442M  & 1645X  MK14 AT SENJA ROAD (BUKIT PANJANG N6C10) [THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR PHASE 7 COMPRISING BLOCK 635C (COMMERCIAL BLOCK), OPEN AIR PLAZA AND DROP-OFF PORCH (NEXT TO BLK 634B) ONLY.]|YAP WENG SENG|201547111|02/06/2015||0|0
E3575-00002-2009-ST209|PROPOSED SEWERAGE SCHEME TO PHASE OUT NEE SOON PUMPING STATION ON LOT(S) 03068M  MK19 AT YISHUN AVENUE 6 NEE SOON PUMPING STATION SINGAPORE 760389|Loh Kar Kheng|201547113|02/06/2015||0|1
A1508-00006-2011-BP01|ESTATE UPGRADING PROGRAMME BATCH 7 AT LUCKY HEIGHTS ESTATE ON LOT 03332L MK 27 AT LUCKY GARDENS[THIS TEMPORARY OCCUPATION PERMIT IS GRANTED FOR LINK-FOOTPATH 1 & 4]|LIM HSENG IU|201547115|02/06/2015||0|0
A1106-00055-2012-BP01|ERECTION OF A PAIR OF 3-STOREY BACK-TO-BACK SEMI-DETACHED DWELLING HOUSES EACH WITH A BASEMENT AND ROOF TERRACE ON LOT 01328V MK10 AT 55 LORONG PISANG EMAS (BUKIT TIMAH PLANNING AREA) SINGAPORE 597872|TEO HONG YIN|201547124|03/06/2015|799.46|2000000|2
A2113-01303-2013-BP01|ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ATTIC AND ROOF TERRACE ON LOT 98766M MK 26 AT 62 CEYLON ROAD|Loke Kwong Yoon|201547116|03/06/2015|387.64|1000000|1
A1255-01277-2013-BP01|ADDITION & ALTERATION TO EXISTING HOSTEL BLOCK 28 TO 31, MULTIPURPOSE HALL AND COMMUNAL BLOCK AT NANYANG TECHNOLOGICAL UNIVERSITY MK08 ON LOTS 00173W, 00174V, 00175P, 00176T, 00177A, 00178K, 00179N, 00180A, 00181K, 00182N, 00183X, 00184L, 00185C, 00186M MK09 ON LOTS 00029L, 00384T, 00385A, 00392L, 01285K, 01286N, 01287X, 01288L & 01289C AT NANYANG AVENUE - THIS TOP IS GRANTED FOR MULTI PURPOSE HALL (MPH), COMMUNAL BLOCK (CB) & CANOPY BETWEEN MPH & CB|CHUNG TEIK KEONG|201546899|03/06/2015|845.0|18877000|0
A1994-00019-2011-BP01|ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK, BLOCK 354 WITH NEW LIFT / LIFT LOBBY AT JURONG EAST AVENUE 1 ON LOTS 06065K , 08112A , 4791K , 4792N , 4793X , 4794L , 4804L , 4805C , 4806M , 6061V , 6062P , 6063T , 6064A , 6327T , 6488M & 8113K MK05 AT 354 JURONG EAST AVENUE 1|ONG LI CHING GIDGETELENA|201547117|03/06/2015|134.6|280000|0
A0849-00072-2013-BP01|ADDITION AND ALTERATION WORKS TO PART OF 1ST STOREY, 2ND STOREY, 3RD STOREY AND 3RD BASEMENT OF THE EXISTING RETAIL PODIUM OF 33-STOREY BUILDING ON LOT 00513W TS01 AT 30 RAFFLES PLACE - THIS TOP ISSUED FOR PHASE 1A COMPRISING RAMP AT 1ST STOREY (GRIDLINE N1/2) ONLY|TONY ANG KONG SIONG|201547121|03/06/2015|112.92|1690000|0
A0506-00196-2013-BP01|REPLACEMENT OF FIXED GANGWAYS AND ADDITION & ALTERATION WORKS ON LOT 04596M PT MK 31 AT TERMINAL 2 SINGAPORE CHANGI AIRPORT AT 60 AIRPORT BOULEVARD-- THIS TOP  ISSUED  FOR FOR FIXED GANGWAY AT GATE E10 ONLY|LEE KUT CHEUNG|201547132|04/06/2015|534.31|29000000|0
A0814-00008-2011-BP01|PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 17/19 STOREY RESIDENTIAL BUILDING, 4 BLOCKS OF 19/19 STOREY RESIDENTIAL BUILDING (TOTAL: 781 UNITS) WITH A BLOCK OF MULTI-STOREY CARPARK, COMMUNITY AND COMMERCIAL FACILITIES, ESS, PRECINCT PAVILION, CHILDCARE CENTRE & RESIDENTS' COMMITTEE CENTRE (HOUGANG N4 C18) ON LOTS 09149W PT, 09495W PT, 09496V PT, 09498T PT, 09500N PT & 09501X PT MK22 AT UPPER SERANGOON VIEW [THIS TOP IS FOR BLOCK 477 PRECINCT PAVILION, LINKWAYS, DROP-OFF PORCHES AND EXTERNAL AREAS ONLY]|CHOY MENG YEW|201547135|04/06/2015|123616.05|121430650|0
