PROJECT REFERENCE NUMBER|PROJECT TITLE|DATE APPROVED
E2913-01107-2012-CS03|PROPOSED RECONSTRUCTION OF THE EXISTING SINGLE-STOREY CORNER TERRACE DWELLING HOUSE TO A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC AND BASEMENT ON LOT 00373W MK 28 AT 13 JALAN LAPANG, SINGAPORE 418973|21/04/2014
A0504-00003-2010-CS01|PROPOSED RECONSTRUCTION OF A SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 94206P MK 26 AT 21 EVERITT ROAD NORTH SINGAPORE 428534 (GEYLANG PLANNING AREA)|25/04/2014
A2136-00025-2013-CS01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A SWIMMING POOL ON LOT 99516K  TS 24 AT 297 TANGLIN ROAD. SINGAPORE 247948 (TANGLIN PLANNING AREA)|25/04/2014
E2554-00117-2013-CS01|PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 02641K MK 18 AT 17 JALAN KETUMBIT SINGAPORE 808869|23/04/2014
A0454-00451-2013-CS02|PROPOSED RECONSTRUCTION TO AN EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT 02199L MK 18 AT 61 JALAN KELI|30/04/2014
A1369-01356-2012-CS03|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 5 BLOCK OF 38-STOREY,  RESIDENTIAL BUILDING (TOTAL 1179 UNITS) WITH MULTI-STOREY CAR PARK, ESS, PRECINCT PAVILION & COMMUNITY FACILITIES AT QUEENSTOWN RC25A, COMMONWEALTH AVE WEST / GHIM MOH LINK ON LOT(S) 7039X PT & 7044C PT MK04|30/04/2014
A0781-00004-2012-CS02|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 4 BLOCKS OF 40-STOREY FLATS WITH LOWER 1ST STOREY (TOTAL 1007 UNITS), 1 BLOCK OF 3-STOREY SOCIAL COMMUNAL FACILITIES WITH LANDSCAPE ROOF GARDEN, 1 BLK OF 7-STOREY MULTI-STOREY CARPARK WITH LANDSCAPE ROOF GARDEN, PRECINCT PAVILION & ELECTRICAL SUBSTATION AT LOR 1 TOA PAYOH / TOA PAYOH RISE (TOA PAYOH PLANNING AREA) ON LOT(S) 2885L PT, 2886C , 2887M , 2888W  & 9913N PT MK17 AT TOA PAYOH RISE SINGAPORE 310128,  LORONG 1 TOA PAYOH SINGAPORE 310128|30/04/2014
A1520-00106-2013-CS01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 98370W MK 18 AT 44 COWDRAY AVENUE|30/04/2014
A0673-00002-2013-CS01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 11 BLOCKS OF 14/16-STOREY RESIDENTIAL BUILDING (TOTAL 1434 UNITS) WITH 2 BLOCKS OF MULTI-STOREY CARPARK, COMMERCIAL / COMMUNITY FACILITIES, PRECINCT PAVILION AND ESS AT WOODLANDS CRESCENT / WOODLANDS RISE(WOODLANDS N7 C29 & 30) ON LOT(S) 02428M PT, 04656L PT, 04658M PT, 04660C PT, 04681P PT, 05908L PT & 0880T PT MK13|08/04/2014
A1324-20008-2013-CS01|PROPOSED 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC  ON LOT 06059C MK 26 AT NO.16 LORONG M TELOK KURAU,SINGAPORE|01/04/2014
A0814-00015-2012-CS04|PROPOSED ERECTION OF RESIDENTIAL FLAT DEVELOPMENT COMPRISING OF 3 BLOCKS OF 21 STOREY AND 10 UNITS OF 3 STOREY STRATA SEMI-DETACHED (TOTAL: 445 UNITS) WITH 2 LEVELS OF BASEMENT CARPARK, SWIMMING POOL, LANDSCAPE DECK AND COMMUNAL FACILITIES ON LOT(S) 17575V  MK18|04/04/2014
A1420-01695-2012-CS01|PROPOSED RECONSTRUCTION TO THE EXISTING 2-STOREY BUNGALOW HOUSE WITH A SWIMMING POOL ON LOT 1885L MK15 AT 30D SWISS CLUB ROAD (BUKIT TIMAH/BUKIT PANJANG PLANNING AREA)|15/04/2014
A2299-01303-2013-CS01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 01912T  MK28 AT 7 TAMAN SELAMAT SINGAPORE 416412|04/04/2014
A0901-00004-2010-CS03|PROPOSED ERECTION OF 2 BLOCK OF 19-STOREY CONDOMINIUM FLATS DEVELOPMENT (TOTAL 85 UNITS) WITH 2 BASEMENT CARPARKS, SWIMMING POOL AND COMMUNAL FACILITIES AT LENGKOK ANGSA/ PATERSON ROAD ON LOT(S) 1409N , 1410A , 370X , 371L , 372C , 373M , 374W , 375V , 382K , 383N , 384X , 385L , 386C , 387M , 488L , 533C , 535W , 537P , 539A  & 623M  TS21|08/04/2014
A1788-00001-2013-CS01|PROPOSED NEW ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH 2 BASEMENTS AND AN ATTIC ON LOT 01432P & 01434A TS18 AT NO. 108 & 110 THOMSON ROAD (NOVENA PLANNING AREA)|14/04/2014
A1694-00231-2012-CS01|PROPOSED ERECTION OF 5-STOREY APARTMENT (TOTAL 48 UNITS) WITH ROOF TERRACE AND SWIMMING POOL AND OTHER COMMUNAL FACILITIES ON LOT 03544N MK 22 AT 30 KOVAN ROAD (HOUGANG PLANNING AREA)|22/04/2014
A1757-00518-2013-CS01|PROPOSED RECONSTRUCTION  TO EXISTING SINGLE-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 2 STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02075A  MK 18   AT 49 JALAN KETUMBIT (SERANGOON PLANNING AREA)|11/04/2014
A1817-00010-2012-CS01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT(S) 01295K  MK27 AT 4 PRIMROSE AVENUE SINGAPORE 467238|04/04/2014
A0650-00529-2013-CS01|PROPOSED ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 00541P & 03384W MK19 AT 31 JALAN MALU-MALU|14/04/2014
A0986-13035-2013-CS01|PROPOSED ERECTION OF 2-STOREY CORNER TERRACE DWELLING HOUSE WITH AN ATTIC, BASEMENT & SWIMMING POOL ON LOT 97142W MK 18 AT 63 CHISELHURST GROVE|15/04/2014
A1199-13001-2013-CS01|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC ON LOT 98017C, MK 27 AT 42 DAFNE STREET|24/04/2014
A1091-00003-2013-CS01|ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT(S) 05797T  MK24 AT 36B JALAN RAYA SINGAPORE 368590|22/04/2014
A1182-00005-2000-CS02|PROP CONDO HOUSING DEVELOPMENT COMPRISING 1 BLK OF 5-STY, 1 BLKS OF 6-STY, 2 BLKS OF 7-STY, 2 BLKS OF 8-STY, 2 BLKS OF 9-STY, 3 BLKS OF 10-STY RESIDENTIAL FLATS (TOTAL 366) WITH BASEMENT CARPARK & ANCILLARY FACILITIES AT KEPPEL BAY DRIVE (BUKIT MERAH PLANNING AREA) PLOT 3 ON LOT(S) 03493T  MK01|30/04/2014
A2026-00005-2011-CS01|PROPOSED ERECTION OF A PART 5-/ PART 12-STOREY SHOPFLAT DEVELOPMENT WITH SHOPS ON THE 1ST STOREY AND COMMERCIAL CARPARKS AT BASEMENT 1, RESIDENTIAL CARPARKS ON THE 2ND AND 3RD STOREY AND RESIDENTIAL FLATS AND ANCILLARY FACILITIES ABOVE ON LOTS 3424T, 8798A 3426K MK 5 AT WEST COAST DRIVE (CLEMENTI PLANNING AREA)|02/04/2014
A0720-00265-2013-CS02|PROPOSED RECONSTRUCTION OF A EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE TO A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH A NEW ATTIC ON LOT(S) 00996N  MK24 AT 1 JALAN LABU MANIS SINGAPORE 537987|09/04/2014
A1439-00001-2009-CS25|PROPOSED NEW ERECTION OF DOWNTOWN LINE HILLVIEW UNDERGROUND MASS RAPID TRANSIT STATION WITH 2 BASEMENTS AT UPPER BUKIT TIMAH ROAD ON LOT(S) 03641N PT, 99732V PT, 99768V PT & 99769P PT MK10, 01944M PT, 02201C PT, 02202M PT, 02254T PT, 02255A PT, 02256K PT, 02257N PT & 02367M PT MK16 AT UPPER BUKIT TIMAH ROAD SINGAPORE 000000|09/04/2014
A1694-00232-2012-CS03|PROPOSED NEW ERECTION OF A CONDOMINIUMDEVELOPMENT COMPRISES OF 13 BLOCKS OF15-STOREY RESIDENTIAL FLATS (TOTAL 810 UNITS)WITH 2 BASEMENT CAR PARKS, SWIMMING POOL, AND ANCILLARY FACILITIES ON LOT 2479T MK 21 AT SENGKANG SQUARE(SENGKANG PLANNING|09/04/2014
A1287-00005-2012-CS02|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 12 STOREY, 1 BLOCK OF 11 STOREY AND 2 BLOCKS OF 10 STOREY RESIDENTIAL BUILDING (TOTAL : 726 UNITS) WITH 2 BASEMENT CARPARKS, TENNIS COURT, SWIMMING POOL, CLUBHOUSE FACILITIES AND SHOPS AT BEDOK RISE ON LOT(S) 10896V  MK27|22/04/2014
A0861-10029-2013-CS01|PROPOSED ERECTION OF A 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 01112A MK27 AT 47 FIDELIO STREET|10/04/2014
A2097-01657-2013-CS01|PROPOSED ERECTION OF ONE BLOCK OF 12-STOREY RESIDENTIAL APARTMENT (TOTAL 17 UNITS) WITH SWIMMING POOL ON LOTS 1829X & 3978V MK01 AT KAMPONG  BAHRU ROAD (BUKIT MERAH PLANNING AREA)|22/04/2014
A1271-00009-2013-CS01|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND SWIMMING POOL ON LOT 03149L MK 4 AT 8 LANTANA AVENUE|17/04/2014
A0712-00110-2010-CS04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 18 BLOCKS OF 5 STOREY RESIDENTIAL UNITS WITH BASEMENT STOREY CARPARK BUILDING PLUS ATTIC, SWIMMING POOL, AND ANCILLARY FACILITIES (TOTAL=410 UNITS) ON LOT 3340V MK19 AT MILTONIA CLOSE|16/04/2014
A0781-00004-2013-CS01|PROPOSED PHASE 15 COMPRISING 1 BLOCK OF 4-STOREY DEVELOPMENT (1-STOREY SHOPS & 3-STOREY APARTMENTS) WITH 2 BASEMENT CARPARKS ON LOT 02260C MK 19 AT JALAN ULU SELETAR/SEMBAWANG ROAD (YISHUN PLANNING AREA)|22/04/2014
A0955-00004-2012-CS02|PROPOSED ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A ROOF TERRACE ON LOT 1775V MK 05 AT NO. 29 JALAN LAYANG LAYANG SINGAPORE 598495|10/04/2014
A0781-00025-2012-CS01|PROPOSED PHASE 14 COMPRISING 1 BLOCK OF 4-STOREY DEVELOPMENT (1-STOREY SHOPS & 3-STOREY APARTMENTS) WITH 2 BASEMENT CARPARKS ON LOTS 02341A MK 19 AT JALAN ULU SELETAR/SEMBAWANG ROAD (YISHUN PLANNING AREA)|22/04/2014
A1491-00096-2013-CS02|PROPOSED ERECTION OF TOTAL 15 UNITS OF TERRACE DWELLING HOUSE WITH SWIMMING POOL COMPRISING OF 10 UNITS OF 3-STOREY OF INTERMEDIATE TERRACE WITH BASEMENT & ROOF TERRACE, 2 UNITS OF 3-STOREY CORNER TERRACE WITH BASEMENT & ATTIC, 1 UNIT OF 3-STOREY CORNER TERRACE WITH ATTIC, 1 UNIT OF 3-STOREY CORNER TERRACE WITH BASEMENT AND 1 UNIT OF 3-STOREY INTERMEDIATE TERRACE WITH BASEMENT ON LOT 02510N MK16 AT CASHEW ROAD ( BUKIT PANJANG PLANNING AREA)|30/04/2014
A0712-02121-2012-CS01|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 5-STOREY RESIDENTIAL UNITS PLUS ATTIC WITH SWIMMING POOL, ANCILLARY FACILITIES AND 1 LEVEL BASEMENT CARPARK (TOTAL=186 UNITS) ON LOT 05544N, 05545X (SL) MK26 AT ST. PATRICK'S ROAD|23/04/2014
A1703-10192-2012-CS01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC ON LOT 97363L MK 17 AT 35 CARMICHAEL ROAD|22/04/2014
A0707-00005-2009-CS01|PROPOSED ERECTION OF A 8-STOREY RESIDENTIAL BUILDING COMPRISING 7 UNITS OF FLAT ON LOT(S) 09984V  & 96632V  MK24 AT LORONG 7 GEYLANG SINGAPORE 123456|28/04/2014
A1621-00006-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ROOF TERRACE & SWIMMING POOL ON LOT 06961N MK 04 AT 16B LEEDON PARK (BUKIT TIMAH PLANNING AREA)|14/05/2014
A1435-00021-2013-CD01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 05570P MK 27 AT NO 8 ELLIOT ROAD,  SINGAPORE 458694|16/05/2014
A1454-01211-2012-CD02|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC, BASEMENT AND SWIMMING POOL ON LOT 01222L MK 02 AT 5F TANGLIN HILL ON LOT 01222L MK02|23/05/2014
A1149-01337-2012-CD04|PROPOSED  CONDOMINIUM HOUSING DEVELOPMENT COMPRISING ERECTION OF 5 BLOCKS OF 5-STOREY RESIDENTIAL BUILDING (109 UNITS) WITH ATTIC, A BASEMENT CARPARK AND COMMUNAL FACILITIES ON LOT 2255W TS 24 AT JERVOIS ROAD (TANGLIN PLANNING AREA)|06/05/2014
A1956-80049-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT 02394L OF MK25 AT 87 BRANKSOME ROAD SINGAPORE 439611 (MARINE PARADE PLANNING AREA)|08/05/2014
A1872-00667-2014-CD01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 02222M MK 20 AT 37A LORONG TANGGAM SINGAPORE 798738|20/05/2014
A0814-00018-2012-CD02|PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING OF 4 BLOCKS OF 5-STOREY AND 3 BLOCKS OF 23-STOREY RESIDENTIAL BUILDINGS (TOTAL: 469 UNITS) WITH BASEMENT CARPARK, SWIMMING POOL, LANDSCAPE DECK AND COMMUNAL FACILITIES ON LOT 02268M TS 24 AT PRINCE CHARLES CRESCENT|29/05/2014
A1199-13002-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY CORNER TERRACE HOUSE WITH AN ATTIC ON LOT 03719T MK 05 AT 76 WEST COAST GROVE SINGAPORE 127873|07/05/2014
A0712-00110-2010-CD06|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 18 BLOCKS OF 5 STOREY RESIDENTIAL UNITS WITH BASEMENT STOREY CARPARK BUILDING PLUS ATTIC, SWIMMING POOL, AND ANCILLARY FACILITIES (TOTAL=410 UNITS) ON LOT 3340V MK19 AT MILTONIA CLOSE|09/05/2014
A1872-00661-2014-CD01|PROPOSED ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC, AN OPEN ROOF TERRACE AND A SWIMMING POOL ON LOT 05315P MK 18 AT 7 NIM DRIVE SINGAPORE 807651 (BREAK-AWAY FROM SEMI-DETACHED HOUSE NO. 9 NIM DRIVE)|08/05/2014
A2077-00001-2011-CD05|PROPOSED ERECTION OF 2 BLOCKS OF 5-STOREY RESIDENTIAL FLAT DEVELOPMENT WITH ATTIC (TOTAL: 37 UNITS), BASEMENT CAR PARKS, A SWIMMING POOL AND ANCILLARY FACILITIES ON LOT 06036T MK 26 AT 32 DUKU ROAD (MARINE PARADE PLANNING AREA)|10/05/2014
A1324-10032-2013-CD02|PROPOSED ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01595A MK 17 AT 253 WOLSKEL ROAD|05/05/2014
A0780-12016-2012-CD02|PROPOSED ERECTION OF A 2-STOREY DETACHED HOUSE WITH AN ATTIC ON LOT 00985C MK31 AT 118C, TANAH MERAH BESAR LANE, SINGAPORE 498902|28/05/2014
A2150-00017-2013-CD02|PROPOSED ERECTION OF 3-STOREY CORNER TERRACE SINGLE DWELLING HOUSE ON LOT 0395A TS 21 AT 16 LENGKOK ANGSA (RIVER VALLEY PLANNING AREA )|12/05/2014
A1312-13501-2013-CD01|PROPOSED ERECTION OF A 2 STOREY INTERMEDIATE TERRACE HOUSE WITH ATTIC ON LOT(S) 02384W  MK17 AT 7 GOLDHILL PLACE SINGAPORE 308923|11/05/2014
A1893-01120-2011-CD03|PROPOSED CONDOMINIUM COMPRISING OF 9 BLOCKS OF 8-STOREY RESIDENTIAL BUILDING (TOTAL 396 UNITS)  & 1 BLOCK OF CLUBHOUSE WITH 1 BASEMENT CARPARK, SWIMMING POOL & TENNIS COURT ON LOT 4825N MK31 AT FLORA DRIVE ON LOT 4825N MK31|26/05/2014
A2100-00010-2011-CD02|PROPOSED ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH ATTIC & SWIMMING POOL ON LOTS 01777N & 01778X MK22 AT  JANSEN ROAD (HOUGANG NORTH PLANNING AREA)|09/05/2014
A1422-00201-2014-CD02|PROPOSED NEW ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 98764X MK 25 AT 48, 50 BRANKSOME ROAD SINGAPORE 439852 & 439583|20/05/2014
A2180-00624-2012-CD03|PROPOSED ERECTION OF A BLOCK OF 20-STOREY RESIDENTIAL FLAT BUILDING (TOTAL 92 UNITS) WITH SWIMMING POOL AND COMMUNAL FACILITIES ON 5TH STOREY SKY TERRACE ON LOTS 00604P, 00605T PT TS26 AT 25 ROBIN ROAD (TANGLIN PLANNING AREA)|27/05/2014
A1613-01381-2013-CD01|PROPOSED ERECTION OF 1 UNIT OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT(S) 05034N  MK04 AT 72 JALAN HAJI ALIAS SINGAPORE 268556|22/05/2014
A2247-00002-2013-CD02|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC ON LOT 00581X MK 18 AT 57 SERAYA CRESCENT|27/05/2014
A1276-00653-2012-CD02|PROPOSED ERECTION OF A 3-STOREY TERRACE DWELLING HOUSE WITH A BASEMENT & AN ATTIC ON LOT 00366V TS27 AT NO 12 JALAN ELOK (NEWTON PLANNING AREA)|16/05/2014
A1658-00001-2013-CD01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 05496V MK 18 AT 1 GRACE PARK|20/05/2014
A1860-01163-2013-CD01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AT NO.14 SIGLAP WALK ON LOT 94132W MK26 SINGAPORE 455745 (BEDOK PLANNING AREA)|20/05/2014
A0803-00122-2013-CD02|PROPOSED NEW ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT(S) 06820T  MK05 AT 49 ENG KONG DRIVE SINGAPORE 599377|26/05/2014
A0650-00102-2014-CD01|PROPOSED ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE WITH A  SUNKEN SWIMMING POOL ON LOT 02408V MK 18 AT 41 JALAN MINGGU (BISHAN PLANNING AREA)|07/05/2014
A0506-00034-2007-CD12|PROPOSED CONDOMINIUM DEVELOPMENT COMPRISING 7 BLOCKS OF 36-STOREY RESIDENTIAL FLATS (1703 UNITS) AND 6 PAIRS OF PART 2 / PART 3-STOREY STRATA SEMI-DETACHED HOUSES (12 UNITS) WITH 2 LEVELS OF BASEMENT CARPARK, SWIMMING POOL AND COMMUNAL FACILITIES & 8 UNITS OF RESTAURANTS & SHOPS ON LOTS 02221K, 02825P, 02826T, 02827A, 02828K, 02829N, 02830A, 02831K, 02832N, 02833X, 02834L, 02835C, 03737V AND 03739T MK 02 AT KING'S ROAD / LEEDON HEIGHTS / FARRER ROAD|08/05/2014
A1812-00003-2013-CD01|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 4 BLOCKS OF 16-STOREY RESIDENTIAL BUILDING (TOTAL 503 UNITS) WITH MULTI-STOREY CARPARK, COMMERCIAL FACILITIES, PRECINCT PAVILION & ESS AT ANCHORVALE CRESCENT. (SENGKANG N3 C27) ON LOT(S) 01778N PT, 01780K PT, 02505P PT & 02507A PT MK21|14/05/2014
A1378-01233-2013-CD06|PROPOSED NEW ERECTION OF EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 9 BLOCKS OF 15-STOREY RESIDENTIAL BUILDINGS (TOTAL 506 UNITS) WITH BASEMENT CARPARKS, SWMMING POOL AND COMMUNAL FACILITIES AT SEMBAWANG CRESCENT / SEMBAWANG DRIVE ON LOT(S) 06037C  MK13|02/05/2014
A1445-01343-2013-CD02|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC AND SWIMMING POOL ON LOT 99496N MK 27 AT 10 SENNETT ROAD|05/05/2014
E0700-00001-2013-CD01|PROPOSED RECONSTRUCTION TO THE EXISTING 3-STOREY DETACHED DWELLING HOUSE ON LOT 03630W MK 05 AT 126 LORONG KISMIS (BUKIT TIMAH PLANNING AREA)|15/05/2014
A0781-00002-2012-CD03|PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 2 BLKS OF 26/28-STY FLAT (TOTAL:283 UNITS) WITH 1 BLK OF MULTI-STYCARPARK WITH COMMUNITY FACILITIES,PRECINCT PAVILION & ESS ON LOT 16580K,16581N PT,6727L PT,6741K MK 18 ANG MO KIO ST 21 (AMK N2 C32)|07/05/2014
A1259-01301-2013-CD02|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 4 BLOCKS OF 17-STOREY, 2 BLOCK OF 20-STOREY RESIDENTIAL BUILDING (TOTAL 698 UNITS) WITH SWIMMING POOL, LANDSCAPE DECK, COMMUNAL FACILITIES AND 2 BASEMENT CARPARKS ON LOT(S) 17828A  MK18|09/05/2014
A1450-01220-2012-CD03|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT AND A SWIMMING POOL ON LOT 06949N MK17 AT 202 LORNIE ROAD (NOVENA PLANNING AREA)|08/05/2014
A1491-00100-2014-CD01|PROPOSED ERECTION OF 2 UNITS OF 3-STOREY DETACHED DWELLING HOUSESWITH SWIMMING POOL ON LOTS 03330N & 03331X MK 27 AT LUCKY GARDENS (BEDOK PLANNING AREA)|16/05/2014
A1491-00096-2013-CD02|PROPOSED ERECTION OF TOTAL 15 UNITS OF TERRACE DWELLING HOUSE WITH SWIMMING POOL COMPRISING OF 10 UNITS OF 3-STOREY OF INTERMEDIATE TERRACE WITH BASEMENT & ROOF TERRACE, 2 UNITS OF 3-STOREY CORNER TERRACE WITH BASEMENT & ATTIC, 1 UNIT OF 3-STOREY CORNER TERRACE WITH ATTIC, 1 UNIT OF 3-STOREY CORNER TERRACE WITH BASEMENT AND 1 UNIT OF 3-STOREY INTERMEDIATE TERRACE WITH BASEMENT ON LOT 02510N MK16 AT CASHEW ROAD ( BUKIT PANJANG PLANNING AREA)|02/05/2014
A1604-00021-2014-CD01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 00873L MK04 AT 70 NAMLY AVENUE (BUKIT TIMAH PLANNING AREA)|12/05/2014
A1365-13005-2013-CD02|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 2-BLOCKS OF 43-STOREY RESIDENTIAL BUILDING(TOTAL:845 UNITS) WITH SKY TERRACES, 3 BASEMENT CARPARKS, SWIMMING POOL & COMMUNAL FACILITIES ON LOT(S) 05056M  MK03 AT COMMONWEALTH AVENUE SINGAPORE 140027|14/05/2014
A0712-01121-2012-CD04|PROPOSED CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 6 BLOCKS OF 15-STOREY RESIDENTIAL FLATS AND 15 STRATA TERRACE UNITS WITH SWIMMING POOL, ANCILLARY FACILITIES (TOTAL=393 UNITS) AND 1 BASEMENT CARPARK ON LOT 09582C MK22 AT KOVAN ROAD, SIMON ROAD (HOUGANG PLANNING AREA)|16/05/2014
A1694-00244-2013-CD02|PROPOSED ERECTION OF 8 UNITS OF 3-STOREY WITH ATTIC STRATA LANDED TERRACES WITH COMMUNAL FACILITIES AND BASEMENT CAR PARK ON LOTS 2776T, 2777A & 02778K-PT MK 22 AT 4, 4A LIM AH PIN ROAD (HOUGANG PLANNING AREA) ON LOT 02778K, 2776T, 2777A MK22 AT 4, 4A, LIM AH PIN ROAD, SINGAPORE 547820|14/05/2014
A1631-00101-2013-CD02|PROPOSED NEW ERECTION OF 3-STOREY SEMI DETACHED DWELLING HOUSE WITH ATTIC AND BASEMENT ON LOT 01664L MK20 AT NO 56 TUNG PO AVENUE, SINGAPORE 787187.|14/05/2014
A1324-70015-2013-CD01|PROPOSED NEW ERECTION OF A 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND BASEMENT AND SWIMMING POOL ON LOT 98870X MK 18 AT 23 KINGSWEAR AVENUE|26/05/2014
A1653-13252-2013-CD02|PROPOSED NEW ERECTION OF 1 UNIT OF 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 00466A MK28 AT NO. 32 JALAN PERGAM|28/05/2014
A0781-00031-2012-CD02|PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF 3 BLOCKS OF 25-STOREY & 1 BLOCK OF 22-STOREY APARTMETNS (TOTAL: 380 UNITS) WITH LANDSCAPE DECK, COMMON BASEMENT CARPARKS & COMMUNAL FACILITIES ON LOT 04735V MK 20 AT SENGKANG WEST WAY/FERNVALE LINK (SENGKANG PLANNING AREA)|28/05/2014
A0623-01312-2013-CD01|PROPOSED ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, ATTIC AND LIFT ON LOT 03140T MK 22 AT 5 AROOZOO AVENUE (HOUGANG PLANNING AREA)|26/05/2014
A1276-00477-2009-CD08|PROPOSED ERECTION OF A 6-STOREY BUILDING WITH ATTIC/ ROOF GARDEN DEVELOPMENT COMPRISING SHOPS (2 UNITS) AT 1ST STOREY, OFFICES (5 UNITS) AT 2ND STOREY & RESIDENTIAL FLATS (28 UNITS) ON THE UPPER STOREYS WITH SWIMMING POOL AT ATTIC LEVEL AND MECHANISED CARPARK ON BASEMENT ON LOTS 01033L, 01034C & 01035M MK24AT 8, 10 & 12 JALAN AYER (KALLANG PLANNING AREA)|22/05/2014
A0650-00513-2013-CD02|PROPOSED ERECTION OF 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 02763P MK 06 AT 76 YUNNAN CRESCENT SINGAPORE 638299|28/05/2014
