TITLE|BUILDER|PROFESSIONAL ENGINEER|ARCHITECT
PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 02679A MK 03 AT 19 JUBILEE ROAD|MANICKAVEL BALAMURUGAN , LIAN HOE DECOR PTE. LTD.|SOH MENG SENG|
PROPOSED ERECTION OF A 2-STOREY CORNER TERRACE DWELLING HOUSE WITH A BASEMENT AND AN ATTIC ON LOT 00847V MK 10 AT 2 JALAN INTAN|LIM GEOK BENG ALAN , BETHNAL CONSTRUCTION PTE LTD|TAN BOON LEONG|EDMUND LOW CHENG HAI
PROPOSED COVERED LINKWAY ON LOT 05100M (PT), 03702C (PT), 04123X (PT), 03460T (PT) & 04124L (PT) MK 03 AT SCIENCE PARK ROAD (QUEENSTOWN PLANNING AREA)|ZAW LIN , BOON TIAN CONTRACTOR PTE LTD|HENG KIM HUAT|SOON YU KONG
PROPOSED ERECTION OF A PART SINGLE / PART 2-STOREY INDUSTRIAL FACTORY AND 2-STOREY ANCILLARY BLOCK ON LOT 04828N MK 07 AT TUAS SOUTH STREET 12|QUEK KHEK WANG , KINGSLAND CONSTRUCTION PTE LTD|TAN MENG LIANG|
PROPOSED ADDITION AND ALTERATION WORKS INCLUDING REPAIR AND RESTORATION TO THE EXISTING  2-STOREY BUILDING (NATIONAL MONUMENT) ON LOT TS04-00592T AT 98 TELOCK AYER STREET, SINGAPORE 048474|WRAY-CONSTRUCTION ,|Soon Won Moi|Tan Jia Yee
PROPOSED NEW LIFT (LUP) PROGRAMME TO EXISTING 4 STOREYSMULTI-STOREY CARPARK AT BLOCK 194 ON LOT 01511X MK-21 AT PUNGGOL ROAD|Mr Low Chan Pang , CHANG HUA CONSTRUCTION PTE LTD|Ms Lee Yen Fong|MR JULIAN JONG MING SIANG
PROPOSED ADDTIONS & ALTERATIONS AND EXTENSION TO EXISTING 2-STOREY FACTORY BUILDING (JTC STANDARD FACTORY TYPE C8) ON LOT 02964C MK07 AT 36 TUAS SOUTH STREET 3|LEE KENG CHAY , RENOBEST BUILDER|WONG YEW FAI|RONNIE GOH SIEW HUAT
PROPOSED ERECTION OF A 5-STOREY (9 UNITS) APARTMENT WITH ATTIC AND ROOF GARDEN ON LOT 01947K , MK 26 AT NO. 93 LORONG L TELOK KURAU|Qu Hong , Bestlink Construction Pte Ltd|WONG YEW FAI|CHER TSE SUAH
PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH ATTIC AND SWIMMING POOL ON LOT 00333W MK 16 AT NO. 70 BINJAI PARK|Peh Yew Guan , Eurobuild Pte Ltd|Wong Yew Fai|RONNIE GOH SIEW HUAT
PROPOSED ERECTION OF 2 UNITS OF 3-STOREY SEMI-DETACHED DWELLING HOUSES WITH ROOF TERRACE EACH ON LOT 4615X MK 26 AT CEYLON ROAD|Mohd Annuar Bin Baharom , 1 CONSTRUCTION PTE LTD|MR ANG SWEE AIK JOSEPH|MR HO POH KONG
PROPOSED NEW LIFT (LUP) PROGRAMME TO EXISTING 6 STOREYS WITH BASEMENT MULTI-STOREY CARPARK AT BLOCK 261 ON LOT 01129V MK-21 AT COMPASSVALE STREET|Mr Low Chan Pang , CHANG HUA CONSTRUCTION PTE LTD|Ms Lee Yen Fong|JULIAN JONG MING SIANG
PROPOSED ERECTION OF STRATA LANDED HOUSING DEVELOPMENT (TOTAL 27 UNITS) OF 3-STOREY STRATA TERRACE HOUSES WITH BASEMENT AND SWIMMING POOL ON MK22 LOT 01811M,05547K & 05546A-PT AT SURIN AVENUE (HOUGANG SOUTH PLANNING AREA) ON LOT 01811M, 05546A & 05547K MK22 AT SURIN AVENUE|MIN THAN WIN @MOHD OMAR SHARIF , Interpro Construction Pte Ltd|Wong Yew Fai|LIM ENG KWEE
PROPOSED EXECUTIVE CONDOMINIUM HOUSING DEVELOPMENT COMPRISING 13 BLOCKS OF 12/13-STOREY RESIDENTIAL BUILDINGS (TOTAL 665 UNITS) WITH BASEMENT CAR PARK, SWIMMING POOL, CLUBHOUSE AND ESS/BC ON LOT 03473W MK19 AT CANBERRA DRIVE / YISHUN AVENUE 7|Chen Xiaodong , China Jingye Construction Engineering (S) Pte Ltd|Kee Ching Guan|WEE LIAM CHOO OWEN
PROPOSED EXTENSION OF 10 STOREY HOTEL DEVELOPMENT TOEXISTING CROWNE PLAZA HOTEL ON LOT 04594L PT MK 31 AT AIRPORT BOULEVARD (CHANGI PLANNING AREA)|BREZAC THIERRY CLAUDE JACQUES , DRAGAGES SINGAPORE PTE LTD|LEE TAT SANG|RICHARD HASSELL
PROPOSED CONSERVATION OF CAPITOL THEATRE, CAPITOL BLDG &  STAMFORD HSE AS PT 3/4-STY HOTEL (157 RM), ERECTION 2-STY COMMERCIAL PODIUM WITH 12-STY RESI FLATS (39 UNITS) 2 BASEMENT FOR SHOPPING WITH UNDERGROUND PEDESTRIAN MALL & 4 BASEMENT CARPARKS AT STAMFO ON LOT 00333W, 00335P, 00346M, 00382V SL, 00383P, 80001L & 99876C SL TS10 AT NORTH BRIDGE ROAD, STAMFORD ROAD|Min Min Latt , Hoover Stainless Pte Ltd|LIM HAN CHONG|MICHAEL NGU
PROPOSED ADDITION AND ALTERATION TO THE EXISTING FACTORY BUILDING INVOLVING ERECTION OF STORAGE TANKS FOR LUBRICANT OIL AND DIESEL ON LOT 02412C MK07 AT 46 TUAS CRESCENT SINGAPORE 638729|CHUA TIONG KWEY , GP 1 PTE. LTD.|TAN MENG LIANG|
PROPOSED NEW ERECTION OF A 3-STOREY DETACHED DWELLING HOUSE WITH ATTIC ON LOT 01067M MK 23 AT 17 LORONG MARICAN SINGAPORE 417214|CHIENG MENG WEE , KEN HOME DESIGN PTE LTD|NG DICK YOUNG|SAMSON TAN BOON HUA
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 01715N MK 22 AT 232 YIO CHU KANG ROAD|CHUA CHEE GANG , SIL BRIGHT CONSTRUCTION PTE LTD|ANG BOON KIAN|YONG PHILIP
PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY CORNER TERRACE DWELLING HOUSE ON LOT05258A MK 26 AT 73 JOO CHIAT WALK|MS KWAH SIEW LAM , TREND SETTER DECOR PTE LTD|LEE CHOW KHOON|LEE CHOW KHOON
PROPOSED ALTERATIONS AND ADDITIONS TO EXISTING  PART SINGLE / PART 2 STOREY SINGLE USER INDUSTRIAL DEVELOPMENT ON MK07 00105X AT 30 BENOI PLACE AT 30 BENOI PLACE|SUI ZHANJUN , HWA SHENG CONSTRUCTION PTE LTD|LIM KIA WEE|
PROPOSED A & A TO FVC10 & FVC50 CONPROSSORS SHELTER (ADDITION OF A WEATHER COVER OVER ERC TURBINE (FVCST10)) WITHIN EXISTING CHEMICAL COMPLEX ON LOT 1203NPT, 2333W, 2336T, 3381C, 646K, 647N, 649L, 671M, 796A & 923VPT MK34 AT 100 JURONG ISLAND HIGHWAY|PHUA CHENG PIAO ANDY , PEC LTD.|TAN WAI KIM|
PROPOSED ADDITION AND ALTERATION WORKS TO 1ST STOREY OF THE EXISTING 9-STOREY SINGLE-USER WAREHOUSE DEVELOPMENT WITH ANCILLARY OFFICE AND TEMPORARY STAFF CANTEEN ON LOT 04588V MK 06 AT 5 BUROH LANE (JURONG EAST PLANNING AREA)|FOO SZE YOUNG , JIAN WEI CONSTRUCTION PTE. LTD.|GOH CHIN KOON|KHAW POH KOOI
PROPOSED ERECTION OF A BLOCK OF 10-STOREY MULTI-USER INDUSTRIAL DEVELOPMENT (TOTAL 61 UNITS) WITH MEZZANINE FLOORS, MULTI-STOREY CAR PARK, TEMPORARY ANCILLARY STAFF CANTEEN AND PROVISION FOR A SWIMMING POOL ON LOT 01006W & 02959C MK23 AT LIM TECK BOO ROAD|HAY MAR NAING , PENG CHUAN ENGINEERING CONSTRUCTION PTE. LTD.|Kee Ching Guan|HO SEOW HUI
PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH BASEMENT AND ATTIC ON LOT 1496P MK 4 AT 12 NAMLY PLACE|LEONG SIEW HOONG , HOCK MING CONSTRUCTION PTE LTD|DR. LI GUOJIN,WU RUIXIN|LIM HONG KIAN
PROPOSED ERECTION OF A PART 5-/ PART 12-STOREY SHOPFLAT DEVELOPMENT WITH SHOPS ON THE 1ST STOREY AND COMMERCIAL CARPARKS AT BASEMENT 1, RESIDENTIAL CARPARKS ON THE 2ND AND 3RD STOREY AND RESIDENTIAL FLATS AND ANCILLARY FACILITIES ABOVE ON LOTS 3424T, 8798A|WEI KIAN HUAT , SOON LI STAINLESS STEEL WORKS PTE LTD|Samuel Kuan|JEREMY TAN MOH HUAT
PROPOSED RECONSTRUCTION OF EXISTING SINGLE STOREY TO 2 STOREY INTERMEDIATE TERRACE DWELLING ON LOT 93976M MK 26 AT NO.37BOWMONT GARDENS (BEDOK PLANNING AREA)|SHANMUGAM LOGANATHAN , STRAITS TEAMWORK PTE LTD|CHEONG KUAN LEONG|LIM HSIANG IU
TUAS TERMINAL PHASE 1 RECLAMATION, WHARF CONSTRUCTION AND DREDGING ON LOT 04238C & 04284X MK07 AT TEMP ROAD NAME|Uttar Kumar Nepal , DIAP-DAELIM JV Pted Ltd|Chow Weng Lee,Teo Yen Pai|
PROPOSED NEW COVERED LINKWAY FROM EXISTING BLOCK 151 CONNECT TO TAMPINES PRIMARY SCHOOL ON LOT 03485W PT AND 07004P PT MK28 AT TAMPINES STREET 12 (WALK2RIDE PROGRAMME CONTRACT ER441 - TAMPINES MRT STATION)|TEO YAN MING , PLANAR ONE & ASSOCIATES PTE LTD|CHONG SENG LAI|LEO HEE HENG
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING OF 6 BLOCKS OF 14-STOREY, 1 BLOCK OF 15-STOREY & 8 BLOCKS OF 16-STOREY FLATS, 2-STOREY CARPARK WITH ROOF GARDEN, COMMERCIAL & COMMUNAL FACILITIES, PRECINCT PAVILIONS & ESS AT TAMPINES AVENUE 9 WITH PROPOSED PA ON LOT 2889N, 99961W, 99970N, 99971X & 99972L MK29 AT TAMPINES AVENUE 9|KOH KEOW BENG , CHIP ENG SENG CONTRACTORS (1988) PTE LTD|QUAK CHEOW SWEE|LAU TSE KIT
PROPOSED NEW ERECTION OF A 6-STOREY WAREHOUSE COMPLEXON LOT 01078A-PT MK06 AT JALAN BESUT|LIM MING KOOI , PLANAR ONE & ASSOCIATES PTE LTD|YOU FOOK HIN|CHOY KAH KIN
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK BLOCK 8A WITH NEW LIFT / LIFT LOBBY AT JALAN KUKOH (LIFT INSTALLATION PROGRAMME TO EXISTING MSCP) ON LOT 00413M, 00414W, 00415V & 00416P TS22 AT 8A JALAN KUKOH|CHAN JEE KHIN , KEN-PAL (S) PTE. LTD.|SAMUEL KUAN|LIM KENG YONG
PROPOSED LIGHTWEIGHT ROOF OVER EXISTING TRELLIS AT ACTIVITY DECK AT 1ST STOREY FOR VICTORIA SCHOOL ON LOT 10970W MK 27 AT 2 SIGLAP LINK|WAI KAM WAH , ANDERCO PTE. LTD.|ER.TAN BIN KEONG|HO YAN YOY
PROPOSED NEW ERECTION OF 12-BLOCKS OF 18-STOREY CONDOMINIUM HOUSING DEVELOPMENT COMPRISING OF BASEMENT CARPARK, COMMUNAL FACILITIES AND SWIMMING POOL AND CLUBHOUSE ON LOT 9557A MK 22 AT UPPER SERANGOON CRESCENT|CHOO KHOK KANG ,|CHIN KHENG MING|CHONG NAN HING
TUAS TERMINAL PHASE 1 RECLAMATION, WHARF CONSTRUCTION AND DREDGING ON LOT 04238C & 04284X MK07 AT TEMP ROAD NAME|Lee Jong Chan , Hyundai/Samsung/Penta-Ocean/Boskalis/Van Oord Joint Venture|Law Kong Hoi,Lee Hiang Meng|
PROPOSED ADDITIONS AND ALTERATIONS ON 1ST STOREY TO 3RD STOREY FOR EXISTING CHANGI AIRPORT TERMINAL 1 ON LOT 04592N PT MK 31 AT 80 AIRPORT BOULEVARD|NAKASHIMA KIMITOSHI , TAKENAKA CORPORATION|LAI HUEN POH|LEE KUT CHEUNG
PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED HOUSE WITH SWIMMING POOL AND AN ATTIC ON LOT 00938C TS28 AT NO. 8 GENTLE DRIVE(NOVENA PLANNING AREA)|TAN BENG KEONG , YKN BUILDERS PTE LTD|KEE CHING GUAN|LAU CHEE MENG
PROPOSED NEW ERECTION OF A 2-STOREY BUNGALOW WITH ATTIC, BASEMENT AND SWIMMING POOL ON LOT00845W MK04 AT NO 1A NAMLY DRIVE|WOO YOH LING , NEWELL BUILDERS PTE. LTD.|Wong Yew Fai|LIU YAW LIN
PROPOSED CONVERSION OF EXISTING CLUB LOUNGE TO CELEBRITY CHEF RESTAURANT AT LEVEL 57 TOWER 2 HOTEL OF THE APPROVED MARINA BAY SANDS INTEGRATED RESORT ON LOT 00342V, 00381N, 00382X, 70010C, 70013V, 70014P, 70017K, 80023L, 80024C & 80026W TS30 AT 1 BAYFRONT AVENUE|HITOSHI FUJITA , SHIMIZU CORPORATION|ANG SWEE AIK JOSEPH|
PROPOSED ERECTION OF A 7-STOREY BUSINESS PARK DEVELOPMENT WITH A BASEMENT CARPARK ON LOT 10945N PT, PLOT 50, MK 27 AT CHANGI BUSINESS PARK VISTA|LOH CHYE AIK , SOIL-BUILD (PTE.) LTD.|KEE CHING GUAN|GRACE YOUNG KOK INN
ABC WATERS PROJECT AT LORONG 6 & 8 TOA PAYOH ON LOT 09881V, 09883T, 10318T & 10480L MK17 AT LORONG 6 TOA PAYOH, LORONG 8 TOA PAYOH|WONG SIEW MOH , SWEE HONG LIMITED|KOH BOON JENG|
PROPOSED ADDITION AND ALTERATION AND CHANGE OF USE OF THE EXISTING 3 STOREY FORT CANNING CENTRE TO AN ART MUSEUMIN LOT 00501X(PT) TS20 AT COX TERRACE, (S)179618 (MUSEUM PLANNING AREA) ON LOT 00501X TS20 AT COX TERRACE|Mok Kee Seng , SUNRAY WOODCRAFT CONSTRUCTION PTE LTD|SAMUEL KUAN|ANGELENE CHAN
PROPOSED PUBLIC HOUSING DEVELOPMENT COMPRISING 2 BLOCKS OF 32-STOREY AND 1 BLOCK OF 34-STOREY RESIDENTIAL BUILDING (TOTAL 738 UNITS) EACH WITH SKY TERRACES, 1 BLOCK OF MULTI-STOREY CAR PARK, 1  BLOCK OF 2-STOREY COMMUNITY FACILITIES, ESS AND PRECINCT PAVIL ON LOT 6392L, 6394M, 6396V, 668X, 671X, 675W, 679A, 97976W, 97982T & 97985N MK17 AT ST. GEORGES LANE|LOW CHAN PANG , CHANG HUA CONSTRUCTION PTE LTD|SONG WEE NGEE,YEO CHOON CHONG|LOOK BOON GEE
PROPOSED A/A TO EXISTING SERVICE BLOCK INVOLVING DEMOLITION OF PARTIAL BASEMENT & 1ST STOREY BUILDING WING AND EXISTING LOADING BAY AT EXISTING NATIONAL UNIVERSITY HOSPITAL, SINGAPORE AT 7 LOWER KENT RIDGE ROAD (QUEENSTOWN PLANNING AREA) ON LOT 04344K, 04898X & 04901W MK03 AT 7 LOWER KENT RIDGE ROAD|BUCOL FILMORE JR VELEZ , TEAMSYSTEM CONSTRUCTION PTE LTD|Gan Chiew Mong|
PROPOSED REDEVELOPMENT OF EXISTING JURONG CHRISTIAN CHURCH INTO A 5-STOREY MULTI-USER PLACE OF WORSHIP(CHURCH) DEVELOPMENT FOR CO-LOCATION AT 2 TAH CHING ROAD  ON LOT 00909L  MK 06|WONG CHENG HUAT , Guan Ho Construction Co. Pte. Ltd.|LEE CHI KUAN|Richard Soo Siew Meng
PROPOSED ADDITION OF A SWIMMING POOL TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE ON LOT 00622K MK16 AT 102 BINJAI PARK SINGAPORE 589888|Ong Thong Hoe , PANTECH CONSTRUCTION PTE. LTD.|Li Jugen|CHAN YAT WENG
PROPOSED ERECTION OF 2-STOREY INTERMEDIATE TERRACE HOUSE ON LOT 01417C MK 18 AT 29 JALAN GELENGGANG|TEO JIN KWEE , YGD CONSTRUCTION PTE. LTD.|TAN BOON LEONG|
PROPOSED RECONSTRUCTION OF EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 03279L MK 22 AT 17C CHARLTON LANE (HOUGANG PLANNING AREA)|CHENG SONG KENG , HAINEI BUILDING & DEVELOPMENT (S) PTE LTD|TEO JIN KWEE|
PROPOSED DEMOLITION OF EXISTING 14-STOREY BUILDING ON LOT 02750K PT, 04296N MK 22 AT 111 TAMPINES ROAD (HOUGANG PLANNING AREA)|FOO YONG HWA , T.A.G CONSTRUCTION PTE LTD|TAN ENG HOW|
PROPOSED ADDITION & ALTERATION TO THE EXISTING 4-STOREY BUILDING WITH SHOPS AT 1ST & 2ND STOREY AND 2 MAISONETTE RESIDENTIAL FLATS AT 3RD & 4TH STOREY ON LOT 02792L MK10 AT 104-106 JALAN JURONG KECHIL (BUKIT TIMAH PLANNING AREA)|Lee Kit Leung Jolland , THE MANDY'S PTE LTD|WONG YEW FAI|TIAH NAN CHYUAN
PROPOSED NEW ERECTION OF A 9-STOREY NURSING HOME ON MK 09 LOT 00631W (PT) AT JURONG WEST STREET 93 (JURONG WEST PLANNING AREA) ON LOT 00631W MK09 AT JURONG WEST STREET 93|LOH SIEW KHOON , CMC CONSTRUCTION PTE. LTD.|Chng Che Hwa|YEE WEI WEN
PROPOSED INTERIM BUS DEPOT WITH SINGLE STOREY WORKSHOP AND TWO STOREY ANCILLARY FACILITIES AT MUKIM 09 LOT01377L, LOT01379M, LOT01381C PT, LOT01474P PT, LOT01478N PT, LOT01498C PT, LOT01789K PT ON LOT 01377L, 01379M, 01381C, 01474P, 01478N, 01498C & 01789K MK09 AT BULIM DRIVE|Sim Yong Ming , KTC CIVIL ENGINEERING & CONSTRUCTION PTE LTD|Tan Charng Cherng|Choy Kah Kin
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 14-STOREY HDB BLOCK ON LOT 05589L MK 28 AT 842H TAMPINES STREET 82 #04-66 SINGAPORE 528842|Lim Ah Cheng , LIAM LEE CIVIL ENGINEERING PTE. LTD.|CHIN CHEE WAI|
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE HOUSE WITH AN ATTIC AND A OPEN ROOF TERRACE ON LOT 01428L MK 27 AT 10 NORMA TERRACE SINGAPORE 456552|TAN CHUNG MENG , TS ONG CONSTRUCTION PTE LTD|TEO THIAN POH|LEE SONG WEE
PROPOSED ADDITIONS AND ALTERATIONS TO CONCERT HALL AND CONCOURSE OF THE EXISTING "ESPLANADE THEATRES ON THE BAY" ON LOT 00299X TS10 AT ESPLANADE DRIVE|LAI PEI SHIH , NAM HONG BUILDERS PTE LTD|Krishnan Murugappan|GAN HOOI WAN
PROPOSED NEW STEEL STAIRCASE ON LEVEL 8 IN THE NORTH TOWER OF SOUTH BEACH MIXED DEVELOPMENT ON LOT 858K TS11 AT BEACH ROAD (DOWNTOWN CORE PLANNING AREA)|LEE YAM SOON , D'perception Singapore Pte. Ltd.|ZHENG ZHIJIAN|
PROPOSED ADDITION  AND ALTERATION TO EXISTING 2-STOREY DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 99344C TS 25 AT 26 MARGOLIOUTH ROAD|Leong Siew Hoong , Hock Ming Construction Pte Ltd|LIM TSUN CHIET|TAN YONG JIN
PROPOSED ADDITIONS & ALTERATIONS INVOLVING NEW LIFT WITH NEW LIFT CORE TO BLOCKS  439, 408 & 413 (MULTI-STOREY CARPARK) ON LOT 4259V, 4346M & 4347W MK 20 AT SENGKANG WEST AVENUE, FERNVALE ROAD & FERNVALE LINK|VENKATASWAMY VASUDEVAPPA , KINDLY CONSTRUCTION & SERVICES PTE LTD|SAM CHANG LOUNG|GOH SIAN YEW
PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT AND ATTIC ON LOT 473T MK 16 AT 110, HUA GUAN AVENUE, SINGAPORE 589206|ZHANG PENG , ML PROSPEC (SINGAPORE) PTE. LTD.|ER. YEO CHOON CHONG|MR HO POH KONG
PROPOSED NEIGHBOURHOOD RENEWAL PROGRAMME (NRP) AND ELECTRICAL LOAD UPGRADING (ELU) WORKS TO BLK 461 TO 470 ANG MO KIO AVENUE 10 ON LOTS 09221W PT & 09334X PT MK18 FOR TECK GHEE DIVISION BATCH 6 , ANG MO KIO TOWN COUNCIL|GOH TZE MIEN , BM BUILDING PTE LTD|LENG KWEK MIN|TAY POH LONG
PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE (GCBA) WITH BASEMENT, ATTIC & SWIMMING POOL ON LOT 01332V MK02 AT 1B WOOLLERTON PARK|LIM HING JONG , PRIME BUILDERS PTE LTD|LIM TSUN CHIET|FREDDIE CHIA HO KHENG
PROPOSED ADDITION AND ALTERATION WORKS INVOLVING CONVERSION OF EXISTING STAND-BY ROOM TO PROPOSED ARMOURY AT 1ST STOREY OF EXISTING 2-STOREY CHECKPOINT BUILDING ON LOTS 03878C, 03880L & 04068P MK06 AT 18 JURONG PIER ROAD (JURONG EAST PLANNING AREA)|NG TIAN OON, JASON , Prima Pietra International Pte Ltd|TAN HOOI KIAT|LEE CHEE PENG
DRAINAGE IMPROVEMENT AND ABC WATER WORKS UNDER EUP BATCH 7 FABER HILLS ESTATE ON LOT 01737L, 02262A, 02319N, 02321K, 08404V, 08677T & 08864C MK05 AT FABER AVENUE, FABER CRESCENT, FABER DRIVE, FABER GREEN, FABER GROVE, FABER HEIGHTS, FABER PARK, FABER TERRACE, FABER WALK|ANG KOK SIANG , CHAN & CHAN ENGINEERING PTE. LTD.|TAN NGO CHIAW|
PROPOSED ROADSIDE CYCLINGTRACK INFRONT OF BLOCK 138, 139, 101, 102 AND 114 ON LOT 02464C & 05224T MK28 AT 101 TAMPINES STREET 11, 102 TAMPINES STREET 11, 114 TAMPINES STREET 11, 138 TAMPINES STREET 11, 139 TAMPINES STREET 11|Yong Chee Mun , Winchel Landscape Builder PTE LTD|TAN CHIN KIANG|YEO-KHOO KEAT SEANG
PROPOSED ADDITIONS & ALTERATIONS TO EXISTING MULTI-STOREY CARPARK BLOCK 78A WITH NEW LIFT / LIFT LOBBY AT INDUS ROAD (LIFT INSTALLATION PROGRAMME TO EXISTING MSCP) ON LOT 02127N, 02128X, 02129L, 02130N, 02131X & 02132L TS24 AT 78A INDUS ROAD|CHAN JEE KHIN , KEN-PAL (S) PTE LTD|SAMUEL KUAN|LIM KENG YONG
PROPOSED ADDITIONS & ALTERATION WORKS CONSISTING OF  ERECTION OF SUPPORTING STRUCTURE FOR 3 NUMBER OF OVERHEAD TRAVELLING CRANES AND 1 NUMBER JIB CRANE TO THE EXISTING FACTORY ON LOT 4541M PT MK 20 PLOT E6 OF SELETAR AEROSPACE (SAP)|LIU YU , J W BUILDING CONSTRUCTION PTE. LTD.|LEONG SOW HON|
PROPOSED ERECTION OF A 8-STOREY MULTIPLE-USER  CLEAN, LIGHT AND GENERAL INDUSTRIAL FACTORY DEVELOPMENT WITH TWO TEMPORARY ANCILLARY INDUSTRIAL CANTEENS, COMMERCIAL USES(CLINIC & MINIMART) AND OTHER ANCILLARY FACILITIES ON LOT 06042W MK 13 AT WOODLANDS CLOS|Goh Chin Eng , SIONG KEE PILING CONSTRUCTION (PTE.) LTD|LAUW SU WEE|GRACE YOUNG KOK INN
PROPOSED INSTALLATION OF FACADE SCREENING AND INTERNAL PARTITION WORK AT 6TH STOREY TO THE EXISTING 8-STOREY SINGLE-USER INDUSTRIAL DEVELOPMENT (BUSINESS 1) AT 82 UBI AVENUE 4 ON LOT 06645M MK23 AT 82 UBI AVENUE 4|TAY HOCK SOON DAVID , BOUSTEAD PROJECTS PTE LTD|CHNG CHE HWA|FRANCIS HWANG HUAT KUONG
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY TIONG BAHRU COMMUNITY CENTRE WITH ADDITION OF A NEW 2-STOREY BLOCK ON LOT 98620V MK01 AT 67A EU CHIN STREET|TAN POH LIAN , HAK KIAN ENTERPRISE PTE LTD|NG SHU WEI|LEE MUN HOE
PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 30-STOREY HDB BLOCK ON LOT 02586C MK 01 AT 131B  KIM TIAN ROAD  #29-179 SINGAPORE 162131|LIM AH CHENG , LIAM LEE CIVIL ENGINEERING PTE LTD|CHIN CHEE WAI|
PROPOSED ERECTION OF A 11-STOREY CHINA CULTURAL CENTRE WITH 2 LEVELS OF BASEMENT CARPARK ON LOT 00900T TS 11 AT QUEEN STREET|CHAN YEW CHEONG , QINGJIAN INTERNATIONAL (SOUTH PACIFIC) GROUP DEVELOPMENT CO. PTE. LTD.|RONNIE CHONG KIM BENG|LIU THAI KER
PROPOSED CONDOMINIUM COMPRISING OF 9 BLOCKS OF 8-STOREY RESIDENTIAL BUILDING (TOTAL 396 UNITS)  & 1 BLOCK OF CLUBHOUSE WITH 1 BASEMENT CARPARK, SWIMMING POOL & TENNIS COURT ON LOT 4825N MK31 AT FLORA DRIVE|DANNY KOH , LIAN BENG CONSTRUCTION (1988) PTE LTD|CHEN YUE FENG,NG PENG BOON|RICHARD SOO SIEW MENG
IMPROVEMENT TO ROADSIDE DRAINS IV CONTRACT 4-4 - GILSTEAD ROAD AT GILSTEAD ROAD|GASPAR RONNIE MALLARI , AVENUE ENGINEERING PTE. LTD.|ARSAD HOSSAIN|
PROPOSED ADDITION AND ALTERATION WORKS TO PART OF 1ST STOREY, 2ND STOREY, 3RD STOREY AND 3RD BASEMENT OF THE EXISTING RETAIL PODIUM OF 33-STOREY BUILDING ON LOT 00513W TS01 AT 30 RAFFLES PLACE|ANG KIM TIA , GENNAL INDUSTRIES PTE LTD|LIAU WAI KUN|
PROPOSED WIDENING OF YISHUN AVENUE 4 ON LOT 1725N, 1888A, 1890T, 2645M & 2899M MK19 AT YISHUN AVENUE 4|Sim Kung Hee , Goh Sin Guan Huat Pte Ltd|Zhou Tong Quan|
PROPOSED RECONSTRUCTION OF BUS SHELTER AND PEDESTRIAN ACCESS INCLUDING NEW COVERED LINKWAYS FOR SINGAPORE POLYTECHNIC ON LOT 1797A, 03438V & 2266N MK 03 AT 500 DOVER ROAD|TANG HUN CHONG , STRATEGIC CONSTRUCTION PTE. LTD.|CHEONG KUAN LEONG|LIM KAM WING
PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 98391A MK 18 AT NO. 41 WORTHING ROAD|Lee Chung Meng , GENERAL UNITED CONSTRUCTION & MERCHANDISE CO PTE LTD|Wong Yew Fai|POH MEOW CHIA
PROPOSED ADDITION AND ALTERATION TO THE EXISTING INDOOR GALLERY OF REPUBLIC OF SINGAPORE AIR FORCE MUSEUM BLK 400 ON LOT 06772T, 00271X & 06774K MK 23 AT 400 AIRPORT ROAD|Chua Meng Keat , PICO ART INTERNATIONAL PTE. LTD.|NG SOON HUA|
PROPOSED 5-STOREY COMMERCIAL BUILDING WITH AVIATION, ATTRACTION FACILITIES, 5 BASEMENT CAR PARKS AND 2 COVERED PEDESTRIAN LINK BRIDGES AND PROPOSED ADDITIONS AND ALTERATIONS WORKS TO PART OF EXISTING TERMINAL 1, 2 AND 3 ON LOTS 04592N(PT), 04594L(PT) AND 0|YONG TIAM YOON , WOH HUP (PRIVATE) LIMITED|ALLAN TEO KOK JIN,SONG WEE NGEE|LEE KUT CHEUNG
