PROJECT REFERENCE NUMBER|TITLE|LOCALITY|ARCHITECT|ENGINEER|DATE APPROVED
A0506-00009-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING NGEE ANN POLYTECHNIC CAMPUS COMPRISING 7 BLOCKS OF CLASSROOMS / WORKSHOPS / LABS / OFFICES (BLOCKS 34, 35, 37, 39, 46, 47 AND 50) AND 2 BLOCKS OF LECTURE THEATRES (LT 38 AND 45) ON LOTS 03892K, 03904X, 05790P|ON LOT(S) 03892K , 03904X , 05790P , 07299W  & 08775C  MK05|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|30/04/2014
A0506-00018-2014-BP01|PROPOSED ERECTION OF A 5-STOREY MOSQUE ON LOT 06064K MK 13 AT WOODLANDS DRIVE 17|ON LOT(S) 06064K  MK13|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER TEOH ENG SIN AECOM SINGAPORE PTE LTD,ER KANG JIANHAN KCL CONSULTANTS PTE LTD|16/04/2015
A0489-00010-2012-BP02|PROPOSED ERECTION OF 2 UNITS OF 2-STOREY DETACHED DWELLING HOUSES WITH BASEMENT, ATTIC AND SWIMMING POOL ON LOT 00441P MK 16 AT HUA GUAN AVENUE|AT HUA GUAN AVENUE|MR GOH SIEW HUAT RG ARCHITECTS|ER CHEW KHEK HAN MSE ENGINEERING & MANAGEMENT CONSULTANTS,ER HUANG ZHAO REN A J JHA PARTNERSHIP|14/04/2014
A0506-00027-2008-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING TAMPINES MALL ON LOT 1460L MK 29 AT TAMPINES CENTRAL 5 / TAMPINES AVENUE 4|ON LOT(S) 1460L  MK29|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER LEE YEE SENG KTP CONSULTANTS PTE LTD|15/04/2014
A0479-00008-2014-BP01|PROPOSED RETENTION OF ADDITION / ALTERATION WORKS AT 1ST STOREY OF EXISTING 3-STOREY CONSERVED SHOPHOUSE AT 264 & 266 SOUTH BRIDGE ROAD ON LOT(S) 99478A  & 99479K  TS06 AT 264,266 SOUTH BRIDGE ROAD|ON LOT(S) 99478A  & 99479K  TS06 AT 264,266 SOUTH BRIDGE ROAD|MS TAN SIOK LAY HT ARCHITECTS|ER SIEW KIM CHOI KC SIEW ENGINEERING CONSULTANTS|07/04/2015
A0479-00101-2011-BP01|PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH ATTIC AND OPEN ROOF TERRACE ON LOT 01667L MK 28 AT 119 JALAN PELATOK (TAMPINES PLANNING AREA)|ON LOT(S) 01667L  MK28 AT 119 JALAN PELATOK|MR CHIA HO KHENG FREDDIE H K CHIA ARCHITECTS|ER TEO JIN KWEE ATC CONSULTING PTE LTD,ER YAP KEN KUO ALAN YAP ENGINEERS & ASSOCIATES|03/04/2014
A0454-00453-2014-BP01|PROPOSED ERECTION OF A 2-STOREY SEMI DETACHED DWELLING HOUSE WITH A NEW ATTIC ON LOT 00546L MK 02 AT 36 JALAN HAROM SETANGKAI SINGAPORE 258821|ON LOT(S) 00546L  MK02 AT 36 JALAN HAROM SETANGKAI|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|ER IRUDAYASAMY KANAGARAJ KJ CONSULTANTS|15/04/2015
A0449-00305-2013-BP01|PROPOSED RECONSTRUCTION OF THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH ADDITION OF AN ATTIC ON LOT(S) 00907P  MK10 AT 51 JALAN DERMAWAN|ON LOT(S) 00907P  MK10 AT 51 JALAN DERMAWAN|MR LAU WAI MUN LAU & ASSOCIATES|ER LEE CHOW KHOON WATT ENGINEERING CONSULTANTS|04/04/2014
A0426-00006-2011-BP01|PROPOSED ERECTION OF A SINGLE STOREY PUMPING STATION WITH A MEZZANINE MAINTENANCE PLATFORM, 3 LEVELS OF BASEMENT AND A ONE AND HALF STOREY STAND ALONE 22KV ELECTRICAL SUB-STATION ON LOT 04613X PT MK 10 AT CHOA CHU KANG AVENUE 6 / BRICKLAND ROAD (CHOA CHU|ON LOT(S) 04613X  MK10 AT CHOA CHU KANG AVENUE 6,  BRICKLAND ROAD|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD|ER TAN TENG HOOI NANYANG TECHNOLOGICAL UNIVERSITY,ER BOEY CHOONG FATT CASE CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER YOW CHEONG HOE T. Y. LIN INTERNATIONAL PTE LTD|19/04/2014
A0449-13009-2013-BP01|PROPOSED ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 01542W MK 18 AT NO. 9  JALAN TELANG SINGAPORE  576680|ON LOT(S) 01542W  MK18 AT 9 JALAN TELANG|MR LAU WAI MUN LAU & ASSOCIATES|ER Yang Mingcai CE21 Consultant|29/04/2014
A0449-00501-2013-BP01|PROPOSED ERECTION OF 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC ON LOT 01072V MK 16 AT NO. 88 RIFLE RANGE ROAD SINGAPORE 588390|ON LOT(S) 01072V  MK16 AT 88 RIFLE RANGE ROAD SINGAPORE 588390|MR LAU WAI MUN LAU & ASSOCIATES|ER CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP|22/04/2014
A0449-00502-2012-BP01|PROPOSED ERECTION OF A 3-STOREY CORNER TERRACE DWELLING HOUSE ON LOT 02261V MK 28 AT NO. 37 SUNBIRD AVENUE SINGAPORE 487347|ON LOT(S) 02261V  MK28 AT 37 SUNBIRD AVENUE|MR LAU WAI MUN LAU & ASSOCIATES|ER CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP|01/04/2014
A0448-00048-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY DETACHED DWELLING HOUSE ON LOT 02396C MK 17 AT 6 ANDREW ROAD|ON LOT(S) 02396C  MK17 AT 6 ANDREW ROAD|MR JAMES TOW SIANG CHOW JTP ARCHITECTS|ER LIM TSUN CHIET TNJ CONSULTANTS LLP|20/04/2015
A0418-01521-2015-BP01|PROPOSED RECONSTRUCTION OF EXISTING TOILETS AT GRIDLINE 6-7/BE-DE TO 1ST STOREY ANCILLARY  OFFICE OF THE EXISTING CHANGI AIRPORT TERMINAL 1 ON LOT 04592N MK31 AT 60 AIRPORT BOULEVARD SINGAPORE 819643|ON LOT(S) 04592N  MK31 AT 60 AIRPORT BOULEVARD|MR KHAW POH KOOI 3HPARCHITECTS PTE LTD|ER FOO CHEANG KAM MM ENGINEERING CONSULTANTS|20/04/2015
A0426-00001-2012-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING NGEE ANN PRIMARY SCHOOL INVOLVING ERECTION OF A 3-STOREY INDOOR SPORTS HALL AND A 4-STOREY ANNEX TO EXISTING 6-STOREY BLOCK ON LOT 10156A MK 26 AT 344 MARINE TERRACE ROAD (MARINE PARADE PLANNING AREA)|ON LOT(S) 10156A  MK26 AT MARINE TERRACE|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD||16/04/2014
A0400-00001-2013-BP01|PROPOSED 6-STOREY BUILDING EXTENSION TO EXISTING EDUCATIONAL INSTITUTE FOR INSEAD ON LOTS 03435C, 04086W AND 05039M MK 03 AT 1 AYER RAJAH AVENUE|ON LOT(S) 03435C , 04086W  & 05039M  MK03 AT 1 AYER RAJAH AVENUE|MR LIU THAI KER RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER VASHDEV ATMARAM KHIALANI C & V ENGINEERING PTE.LTD.,ER YONG DEUNG MING GEOSTRUCT INTERNATIONAL PTE LTD,ER CHEN GUANGMING CGM ENGINEERING CONSULTANTS,ER EE HWEE SAN CPG CONSULTANTS PTE LTD,ER LEE YEE SENG KTP CONSULTANTS PTE LTD|30/04/2014
A0400-00007-2012-BP01|PROPOSED 5-STOREY INSTITUTIONAL BUILDING WITH ANCILLARY FACILITIES FOR ESSEC ON LOT 05035N MK03 AT NEPAL PARK|ON LOT(S) 05035N  MK03 AT NEPAL PARK|MR LIU THAI KER RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LEE TAT SANG T S LEE CIVIL STRUCTURAL ASSOCIATES,ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER LEE HIANG MENG PAL CONSULTANCY|19/04/2014
A0414-00104-2012-BP01|PROPOSED ADDITION & ALTERATION TO EXISTING 2-STOREY CONSERVED BUILDING WITH ATTIC FOR ASSOCIATION USE ON LOT 00903W T.S 23 AT 46 CRAIG ROAD (CHINATOWN -TANJONG PAGAR CONSERVATION AREA)|ON LOT(S) 00903W  TS23 AT 46 CRAIG ROAD|MR YANG KIAM WA YKW ARCHITECTS|ER TEO JIN KWEE ATC CONSULTING PTE LTD|08/04/2014
A0414-00105-2012-BP01|PROPOSED ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE ON LOT(S) 00454N  MK28 AT 8  JALAN PERGAM|ON LOT(S) 00454N  MK28 AT 8  JALAN PERGAM|MR YANG KIAM WA YKW ARCHITECTS|ER LEE HONG KEOW MTREE ENGINEERING CONSULTANTS|21/04/2014
A0363-00276-2013-BP01|PROPOSED PUBLIC HOUSING DEVT COMPRISING OF 1 BLK OF 14-STOREY RESIDENTIAL BLDG (TOTAL 150 UNITS OF STUDIO APT) AND 1 BLK OF 5-STOREY MULTI-STOREY CARPARK WITH SOCIAL COMMUNAL FACILITIES ON MSCP'S ROOF, COMMERCIAL FACILITIES, ESS & PRECINCT PAVILION ON LOT|ON LOT(S) 11232P  MK18 AT SERANGOON NORTH AVENUE 1|MR CHAN SAU YAN CSYA PTE LTD|ANG BOON KIAN A A ENGINEERING CONSULTANTS,ER CHENG CHEE CHAI CE CONSULTING ENGINEERS, LEE YEE SENG CSTECH CONSULTANTS & ENGRG PTE LTD|16/04/2015
A0259-00472-2012-BP01|PROPOSED OF COVERED WALKWAY BETWEEN BLOCK 415 AND 416 TO EXISTING BUS STOP ON LOT 05521K MK 13 AT SEMBAWANG DRIVE/CANBERRA ROAD. (SEMBAWANG PLANNING AREA)|ON LOT(S) 05521K  MK13 AT 415 & 416 SEMBAWANG DRIVE|MR TAN BIN YEE ACA AKITEK|ER LENG KWEK MIN LENG CONSULTANTS|25/04/2014
A0259-00474-2012-BP01|PROPOSED OF COVERED LINKWAYS AND HIGH LINKWAY FROM BLOCK 701 TO 701A ON LOT 00931K & 01521L MK 19 AT YISHUN AVENUE 5. (YISHUN PLANNING AREA)|ON LOT(S) 00931K  & 01521L  MK19|MR TAN BIN YEE ACA AKITEK|ER LENG KWEK MIN LENG CONSULTANTS|10/04/2014
A0224-00299-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING DRUM STORE ON 1ST STOREY OF THE EXISTING 3-STOREY SINGLE-USER LIGHT INDUSTRIAL BUILDING ON LOTS 4463W & 4469N (PLOTS A2025700 & A2025705) MK 31 AT NO: 35 CHANGI NORTH CRESCENT SINGAPORE 499641|ON LOT(S) 4463W  & 4469N  MK31|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|15/04/2014
A0224-00289-2012-BP01|PROPOSED RECONSTRUCTION OF AN EXISTING 2-STOREY  INTERMEDIATE TERRACE DWELLING HOUSE ON LOT 98180P MK 18 AT 10 PENSHURST PLACE|ON LOT(S) 98180P  MK18 AT 10  PENSHURST PLACE|MR MA MONG PAK LOONG UDECO ARCHITECTS|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|11/04/2014
A0224-00295-2013-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO THE EXISTING 2-STOREY SINGLE-USER INDUSTRIAL BUILDING ON LOT 01707W (PLOTS A20573  A20573A) MK 7 AT NO. 5 TUAS DRIVE 2 SINGAPORE 638639|ON LOT(S) 01707W  MK07|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|07/04/2014
A0236-00132-2008-BP02|PROPOSED NEW ERECTION OF A 11 STOREY OFFICE AND RETAIL BUILDING WITH 2 BASEMENTS FORMING PART OF PROPOSED REDEVELOPMENT TO THE EXTG SCHP AND EXTG OE, A/A TO EXTG 2 STY CONSERVED BLDG, INCLUDING A SUBTERRANEAN PEDESTRIAN LINK WITH RETAIL USE AND A LINK BRI ON LOT(S) 01013T  TS27 AT ORCHARD ROAD|ON LOT(S) 01013T  TS27 AT ORCHARD ROAD|MR WONG HONG YAN AWP PTE LTD|ER NASIM SHAHZAD MEINHARDT (SINGAPORE) PTE LTD,ER TAN CHARNG CHERNG TAN CHARNG CHERNG & ASSOCIATES,ER NG CHENG KIAT NCK ASSOCIATES,ER INDRA YOGARAJAH GEOENG CONSULTANTS (S) PTE LTD,ER KAM MUN WAI MEINHARDT (SINGAPORE) PTE LTD,ER M SIVAKUMARAN SMS CONSULTING ENGINEERS,ER THAM CHAI LOCK THAM ENGINEERING CONSULTANTS,ER HU YANG FU WAYDA CONSULTANTS|14/04/2014
A0227-00323-2006-BP02|PROPOSED ADDITIONS/ALTERATIONS AND RECLADDING OF THE EXISTING PIL BUILDING ON LOTS 66M, 99846C & 99848W TS 2 AT 140 CECIL STREET (DOWNTOWN CORE PLANNING AREA)|ON LOT(S) 66M , 99846C  & 99848W  TS02|MR NGU KING TENG ARCHITECTS 61 PTE LTD||01/04/2014
A0224-06375-2013-BP02|PROPOSED NEW ERECTION OF A 2-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC AND A SWIMMING POOL ON LOT 00659X MK5 AT NO. 78 SUNSET WAY|ON LOT(S) 00659X  MK05 AT 78 SUNSET WAY|MR CHAI JUN YEA DESIGN@LOFT ARCHITECTS|ER CHEANG JEN BOON INTER-SYSTEM CONSULTANTS|25/05/2015
A0224-00520-2013-BP01|PROPOSED NEW ERECTION OF A 3-STOREY SEMI-DETACHED DWELLING HOUSE WITH AN ATTIC  ON LOT(S) 02238C  MK28 AT 47  SUNBIRD CIRCLE|ON LOT(S) 02238C  MK28 AT 47  SUNBIRD CIRCLE|MR CHONG YEAN HING ATELIER DESIGN ARCHITECTS|ER WEE KAY CHARN EDP CONSULTANTS PTE LTD|07/05/2014
A0259-00459-2011-BP01|PROPOSED ADDITIONS AND ALTERATIONS OF PAVILION NEAR BLK 467A  ON LOT(S) 03627V  MK13 AT 13 ADMIRALTY DRIVE|ON LOT(S) 03627V  MK13 AT 13 ADMIRALTY DRIVE|MR TAN BIN YEE ACA AKITEK|ER LENG KWEK MIN LENG CONSULTANTS|16/05/2014
A0340-00351-2014-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SHANGRI-LA HOTEL TOWER WING (TOWER BALLROOM,FOYER & TOILETS AT 3RD STOREY AND AV ROOM AT 4TH STOREY) ON LOTS 00607A AND 00674N TS 25 AT 22 ORANGE GROVE ROAD|ON LOT(S) 00607A  & 00674N  TS25|MR CHAO TSE ANN CHAO TSE ANN & PARTNERS PTE LTD|ER LIM TUAN CHEOW T. Y .LIN INTERNATIONAL PTE PTD|12/05/2014
A0340-00353-2015-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXISTING SHANGRI-LA HOTEL (TOWER WING) ON LOTS 00607A & 00674N TS 25 AT 22 ORANGE GROVE ROAD (TANGLIN PLANNING AREA)|ON LOT(S) 00607A  & 00674N  TS25|MR CHAO TSE ANN CHAO TSE ANN & PARTNERS PTE LTD||25/05/2015
A0393-10687-2011-BP02|PROPOSED NEW EXTENSION AND UPGRADING OFEXISTING 6/6 STOREY MULTI-STOREY CAR PARKNO Q75M AT BLOCK 10A HOLLAND DRIVELOT 6137A, MK 04 ON LOT(S) 6137A  MK04|ON LOT(S) 6137A  MK04|MR TEH WENG KUANG ONG&ONG PTE LTD|ER LIM YAN PING SCE CONSULTANTS (PTE),ER CHAN SWEE MENG SCE CONSULTANTS (PTE), ZHOU TONG QUAN TENWIT CONSULTANTS PTE LTD|14/05/2015
A0393-12682-2013-BP01|PROPOSED NEW ERECTION OF ONE BLOCK OF 6/6-STOREY MULTI-STOREY CAR PARK WITH INTENSIVE LANDSCAPE ROOF ON LOTS 05224T MK28 FOR TAMPINES N1 C3 AT TAMPINES ST 11 (T7) (TAMPINES PLANNING AREA).|ON LOT(S) 05224T  MK28 AT TAMPINES STREET 11|MR TEH WENG KUANG ONG&ONG PTE LTD|ER LIM YAN PING SCE CONSULTANTS (PTE),ER SAMUEL KUAN PEC CIVIL CONSULTANT PTE LTD,ER DONG WEI BIN DWB CS-ENGINEERING CONSULTANTS|04/05/2015
A0418-01418-2012-BP01|PROPOSED NEW 3 STOREY EXTENSION TO EXISTING 1- STOREY SINGLE USER WAREHOUSE WITH CONNECTION TO EXISTING 10 STOREY SINGLE USER FACTORY BUILDING ON LOT(S) 2353  MK13 AT SENOKO WAY|ON LOT(S) 2353  MK13 AT SENOKO WAY|MR KHAW POH KOOI 3HPARCHITECTS PTE LTD|ER FOO CHEANG KAM MM ENGINEERING CONSULTANTS|16/05/2014
A0400-00007-2011-BP01|PROPOSED ERECTION OF A 11-STOREY CHINA CULTURAL CENTRE WITH 2 LEVELS OF BASEMENT CARPARK ON LOT 00900T TS 11 AT QUEEN STREET|ON LOT(S) 00900T  TS11 AT QUEEN STREET|MR LIU THAI KER RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER HO KOK KOH BUILDING ENGINEERING CONSULTANTS,ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER YAP KOK CHEONG , CHUNG VUI LEONG T & T DESIGN CONSULTANTS PTE LTD,ER TAN MENG LIANG MTECH CONSULTANTS,ER GARY NG WEE GIAP GNG CONSULTING ENGINEERS,ER CHEN YUE FENG KTP CONSULTANTS PTE LTD|26/05/2014
A0449-00312-2010-BP01|PROPOSED ADDITIONS & ALTERATIONS TO THE EXISTING 2-STOREY CONSERVED CORNER TERRACE DWELLING HOUSE INVOLVING A 3-STOREY REAR EXTENSION WITH AN ATTIC ON LOT(S) 07681P  & 08964P  MK26 AT 115 ONAN ROAD|ON LOT(S) 07681P  & 08964P  MK26 AT 115 ONAN ROAD|MR LAU WAI MUN LAU & ASSOCIATES|Mr LEE CHOW KHOON NLS CIVIL STRUCTURAL CONSULTANT ENGINEERS|18/05/2015
A0449-00505-2011-BP01|PROPOSED ERECTION OF A 2-STOREY DETACHED DWELLING HOUSE WITH A BASEMENT, AN ATTIC AND A SWIMMING POOL ON LOT 01033X & 01034L MK 16 AT NO. 25 & 27 JALAN WAJEK|ON LOT(S) 01033X  & 01034L  MK16 AT 27 JALAN WAJEK|MR LAU WAI MUN LAU & ASSOCIATES|ER CHOW GEE YEONG THE ENGINEERS COLLABORATIVE LLP|16/05/2014
A0426-00007-2013-BP01|PROPOSED ADDITIONS & ALTERATIONS TO EXTG SOUTH VIEW PRIMARY SCHOOL INVOLVING DEMOLITION OF AN EXTG 4-STOREY CLASSROOM BLK C TO BUILD A NEW 6-STOREY CLASSROOM BLK & ADDITION OF A NEW 3-STOREY INDOOR SPORTS HALL AND ERECTION OF A STAND-ALONE 2-STOREY BUILDI ON LOT(S) 00962L  MK11 AT 6 CHOA CHU KANG CENTRAL|ON LOT(S) 00962L  MK11 AT 6 CHOA CHU KANG CENTRAL|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD|ER BOEY CHOONG FATT CASE CONSULTANTS,ER SOON WON MOI MOTT MACDONALD SINGAPORE PTE LTD,ER ONG CHEE WEE J PRO CONSULTING ENGINEERS, KEE CHING GUAN CIVIL AND GEOTECHNICAL ASSOCIATES|17/05/2015
A0426-00008-2013-BP01|PROPOSED COVERING OF EXISTING LINKWAY AT THE TRIANGLE COURTYARD BETWEEN NEW KENT RIDGE GUILDHOUSE (KRGH) BLOCK AND THE EXISTING5-STOREY KRGH BLOCK AT NO 9 KENT RIDGE DRIVE, SINGAPORE ON LOT(S) 03891P , 03894K , 04340V , 04342T , 04343A , 05023L  & 05025M  MK03|ON LOT(S) 03891P , 03894K , 04340V , 04342T , 04343A , 05023L  & 05025M  MK03|MR KIM LOH FONG ARCHITECTS VISTA PTE LTD||27/05/2014
A0454-00430-2012-BP01|PROPOSED RECONSTRUCTION TO THE EXISTING 2-STOREY INTERMEDIATE TERRACE DWELLING  HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT 97774M TS 17 AT 11 STURDEE ROAD SINGAPORE 207840|ON LOT(S) 97774M  TS17 AT 11 STURDEE ROAD|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|ER KEE KAM OON PK PROJECT CONSULTANTS|20/05/2014
A0454-00444-2013-BP01|PROPOSED ERECTION OF SINGLE STOREY INTERMEDIATE TERRACE DWELLING HOUSE TO 3-STOREY INTERMEDIATE TERRACE DWELLING HOUSE WITH AN ATTIC ON LOT(S) 98473L  MK22 AT 10B  FLOWER ROAD|ON LOT(S) 98473L  MK22 AT 10B  FLOWER ROAD|MR PHILLIP BLANDFORD CONN INTERNATIONAL PROJECT TEAM|ER KEE KAM OON PK PROJECT CONSULTANTS|14/05/2014
A0479-00118-2007-BP02|PROPOSED RECONSTRUCTION TO EXISTING 2-STOREY SEMI-DETACHED DWELLING HOUSE WITH A BASEMENT ON LOT 3678P MUKIM 4 AT NO 6 GROVE DRIVE|ON LOT(S) 03678P  MK04 AT 6 GROVE DRIVE|MS TAN SIOK LAY DESIGN ARCHCRYLIC||27/05/2014
A0484-00813-2009-BP01|PROPOSED A & A WORKS (INTERNAL PARTITIONING) AT BASEMENT 1 & 2 OF EXISTING12-STOREY WITH 3 BASEMENT CARPARK FOR THE NATIONAL HEART CENTRE SINGAPOREON LOT 00467K TS22 AT HOSPITAL DRIVE (BUKIT MERAH PLANNING AREA)|ON LOT(S) 00467K  MK22 AT HOSPITAL DRIVE|MR GOH CHONG CHIA ONG & ONG PTE LTD||06/05/2014
A0506-00028-2014-BP01|PROPOSED FACADE REPLACEMENT AT 4TH AND 5TH STOREY OF EXISTING RAFFLES CITY SHOPPING CENTRE ON LOT 482M TS 11 AT 250 NORTH BRIDGE ROAD, 252 NORTH BRIDGE ROAD, 2 STAMFORD ROAD AND 80 BRAS BASAH ROAD|ON LOT(S) 482M  TS11 AT 252 NORTH BRIDGE ROAD|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD||06/05/2014
A0489-00006-2014-BP01|PROPOSED ADDTIONS & ALTERATIONS AND EXTENSION TO EXISTING 2-STOREY FACTORY BUILDING (JTC STANDARD FACTORY TYPE C8) ON LOT 02964C MK07 AT 36 TUAS SOUTH STREET 3|ON LOT(S) 02964C  MK07 AT 36 TUAS SOUTH STREET 3|MR GOH SIEW HUAT RG ARCHITECTS|Mr WANG KHANG NENG EPM CONSULTANTS,Mr WONG YEW FAI CMP CONSULTANTS PTE LTD|19/05/2015
A0506-00032-2011-BP01|PROPOSED INTRA-ISLAND CABLEWAY AT SENTOSA COMPRISING 3 CABLEWAY STATIONS (SILOSO POINT STATION, IMBIAH STATION & FLOWER TERRACE STATION) AND 8 CABLEWAY TOWERS ON LOTS 00578C PT, 00580L PT, 02234A PT, 02235K PT, 02288M PT, 02299X PT, 02302W PT, 02303V PT, 02304P PT, 02667K PT, 02668N PT, 02670K PT, 02676W PT, 02677V PT, 02678P PT, 02681P PT & 02778M PT MK 34 AT SENTOSA|ON LOT(S) 00578C , 00580L , 02234A , 02235K , 02288M , 02299X , 02302W , 02303V , 02304P , 02667K , 02668N , 02670K , 02676W , 02677V , 02678P , 02681P  & 02778M  MK34 AT SENTOSA|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER RAYMOND LAURIE HATFIELD P. R. CONSULTANTS OFFSHORE,ER ONG LIAN HUAT DEMACO CONSULTANTS|26/05/2014
A0506-00039-2011-BP01|PROPOSED EXTENSION TO THE EXISTING NANYANG POLYTECHNIC COMPRISING 4-STOREY AND 7-STOREY ACADEMIC BLOCKS,  2-STOREY AND 3-STOREY ANCILLARY FACILITY BLOCKS AND ADDITION / ALTERATION TO THE EXISTING BLOCK A ON LOT 14300T MK 18 AT 180 ANG MO KIO AVENUE 8|ON LOT(S) 14300T  MK18 AT ANG MO KIO AVENUE 8|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER CHEONG KUAN LEONG K L CHEONG & ASSOCIATES,ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD,ER LIM SWEE KONG FONG CONSULT|08/05/2014
A0512-00244-2014-BP01|PROPOSED COVERED WALKWAY FROM BLOCK 129 TO 130 ON LOT(S) 02082C  MK19 AT YISHUN STREET 11|ON LOT(S) 02082C  MK19 AT YISHUN STREET 11|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD|ER LENG KWEK MIN LENG CONSULTANTS|04/05/2015
A0512-00246-2014-BP01|PROPOSED COVERED WALKWAY OVER EXISTING BFA FROM BLOCK 106 TO 107 YISHUN RING ROAD ON LOT(S) 1539V  MK19 AT 106 TO107 YISHUN RING ROAD|ON LOT(S) 1539V  MK19 AT 106 TO107 YISHUN RING ROAD|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD||11/05/2015
A0512-00247-2014-BP01|PROPOSED COVERED WALKWAY OVER EXISTING BFA NEAR BLOCK 709 YISHUN AVENUE 5 ON LOT(S) 1276P  MK19 AT 709 YISHUN AVENUE 5,  709 YISHUN AVENUE 5|ON LOT(S) 1276P  MK19 AT 709 YISHUN AVENUE 5,  709 YISHUN AVENUE 5|MRS LIM-TAN SUAT HUA S H LIM ARCHITECTS PTE LTD||22/05/2015
A0506-00084-2012-BP01|PROPOSED ORA AND ADDITIONS & ALTERATIONS TO BASEMENT 1, BASEMENT 2, 1ST STOREY AND 3RD STOREY OF EXISTING RAFFLES CITY SHOPPING CENTRE ON LOT 482M TS11 AT 250 NORTH BRIDGE ROAD, 252 NORTH BRIDGE ROAD, 2 STAMFORD ROAD AND 80 BRAS BASAH ROAD|ON LOT(S) 482M  TS11 AT 2 STAMFORD ROAD,  250 NORTH BRIDGE ROAD,  252 NORTH BRIDGE ROAD,  80 BRAS BASAH ROAD|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER YONG WEE LOKE MAUNSELL CONSULTANTS (SINGAPORE) PTE LTD|05/05/2014
A0506-15004-2015-BP01|PROPOSED ADDITIONS AND ALTERATIONS TO EXISTING JCUBE MALL ON LOT 08877L MK 05 AT 2 JURONG EAST CENTRAL 1 - FOR PHASE 3|ON LOT(S) 08877L  MK05|MR LEE KUT CHEUNG RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|ER LAI HUEN POH RSP ARCHITECTS PLANNERS & ENGINEERS (PTE) LTD|25/05/2015
